Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,resistance_level_1
2006-01-02,117.82,117.92,117.17,117.2,0,,,,,117.92,117.17,115.7,109.46,119.75
2006-01-03,117.19,117.59,115.64,115.81,0,,,,,117.59,115.64,115.7,109.46,119.75
2006-01-04,115.82,116.48,115.67,116.17,0,,,,,116.48,115.67,115.7,109.46,119.75
2006-01-05,116.18,116.44,115.77,116.13,0,,,,,116.44,115.77,115.7,109.46,119.75
2006-01-06,116.12,116.32,114.25,114.41,0,,,,,116.32,114.25,115.7,109.46,119.75
2006-01-08,114.57,114.59,113.79,113.84,0,,,,,114.59,113.79,115.7,109.46,119.75
2006-01-09,113.85,114.81,113.84,114.7,0,,,,,114.81,113.84,115.7,109.46,119.75
2006-01-10,114.71,114.73,114.14,114.55,0,,,,,114.73,114.14,115.7,109.46,119.75
2006-01-11,114.54,114.91,113.95,114.14,0,,,,,114.91,113.95,115.7,109.46,119.75
2006-01-12,114.13,114.77,113.44,114.66,0,,,,,114.77,113.44,115.7,109.46,119.75
2006-01-13,114.67,114.83,114.19,114.26,0,,,,,114.83,114.19,115.7,109.46,119.75
2006-01-15,114.25,114.37,113.82,114.33,0,,,,,114.37,113.82,115.7,109.46,119.75
2006-01-16,114.32,115.31,114.29,115.0,0,,,,,115.31,114.29,115.7,109.46,119.75
2006-01-17,114.99,115.95,114.6,115.76,0,,,,50.12760814061747,115.95,114.6,115.7,109.46,119.75
2006-01-18,115.75,115.83,114.83,115.28,0,,,,45.42049638663971,115.83,114.83,115.7,109.46,119.75
2006-01-19,115.29,115.71,114.96,115.64,0,,,,49.268217573099896,115.71,114.96,115.7,109.46,119.75
2006-01-20,115.63,115.69,114.99,115.28,0,,,,45.79169230444611,115.69,114.99,115.7,109.46,119.75
2006-01-22,115.26,115.32,114.49,114.69,0,,,,40.72033638985207,115.32,114.49,115.7,109.46,119.75
2006-01-23,114.7,114.9,114.19,114.81,0,,,,42.12427386831798,114.9,114.19,115.7,109.46,119.75
2006-01-24,114.82,115.28,114.41,115.21,0,116.7137009134672,115.09349999999999,113.47329908653278,46.65914970115473,115.28,114.41,115.7,109.46,119.75
2006-01-25,115.2,115.99,114.66,115.64,0,116.34703257564358,115.01550000000002,113.68396742435645,51.09536033401675,115.99,114.66,115.7,109.46,119.75
2006-01-26,115.63,116.6,115.46,116.29,0,116.44281714163264,115.0395,113.63618285836736,56.9269556289079,116.6,115.46,115.7,109.46,119.75
2006-01-27,116.28,117.47,116.21,117.24,0,116.72722275103487,115.093,113.45877724896513,63.73364793366913,117.47,116.21,115.7,109.46,119.75
2006-01-29,117.29,117.45,117.04,117.38,0,117.02259908681891,115.1555,113.28840091318109,64.62093871569454,117.45,117.04,115.7,109.46,119.75
2006-01-30,117.39,117.85,117.28,117.63,0,117.43684218936474,115.31650000000002,113.1961578106353,66.21072108567074,117.85,117.28,115.7,109.46,119.75
2006-01-31,117.62,117.73,116.73,117.2,0,117.6423829903403,115.4845,113.3266170096597,61.1231528282213,117.73,116.73,115.7,109.46,119.75
2006-02-01,117.19,118.36,117.15,118.31,0,118.11443666993044,115.66499999999999,113.21556333006954,67.96594116853854,118.36,117.15,115.7,109.46,119.75
2006-02-02,118.32,118.67,118.23,118.44,0,118.53155894396062,115.8595,113.18744105603938,68.66164331849608,118.67,118.23,115.7,109.46,119.75
2006-02-03,118.43,119.43,118.4,118.9,0,118.95598124009936,116.09750000000001,113.23901875990066,71.05691795151205,119.43,118.4,115.7,109.46,119.75
2006-02-05,118.83,118.98,118.57,118.62,0,119.2743284609893,116.29549999999999,113.31667153901068,67.66661557380482,118.98,118.57,115.7,109.46,119.75
2006-02-06,118.63,119.2,118.53,118.99,0,119.5771771705436,116.53200000000001,113.48682282945641,69.72241914688117,119.2,118.53,115.7,109.46,119.75
2006-02-07,118.98,119.02,117.58,118.09,0,119.66065298870843,116.72,113.77934701129156,59.76782867595978,119.02,117.58,115.7,109.46,119.75
2006-02-08,118.08,118.84,117.66,118.61,0,119.83986370665487,116.90050000000001,113.96113629334515,63.05034473210784,118.84,117.66,115.7,109.46,119.75
2006-02-09,118.62,118.98,118.35,118.44,0,119.99792690140988,117.03450000000001,114.07107309859013,61.289781131429415,118.98,118.35,115.7,109.46,119.75
2006-02-10,118.43,118.44,116.92,117.93,0,120.04039590032416,117.16699999999999,114.29360409967582,56.218159830822984,118.44,116.92,115.7,109.46,119.75
2006-02-12,117.83,118.06,117.54,117.89,0,120.08021044558335,117.27949999999998,114.47878955441662,55.827961849396274,118.06,117.54,115.7,109.46,119.75
2006-02-13,117.9,118.27,117.39,117.5,0,120.03716185977729,117.3905,114.74383814022272,52.03569368646128,118.27,117.39,115.7,109.46,119.75
2006-02-14,117.51,117.79,117.14,117.61,0,119.87544228231475,117.5365,115.19755771768526,53.0053294773029,117.79,117.14,115.7,109.46,119.75
2006-02-15,117.62,118.14,116.78,117.75,0,119.66000474322722,117.68350000000001,115.7069952567728,54.2723662867928,118.14,116.78,115.7,109.46,119.75
2006-02-16,117.74,118.3,117.34,118.13,0,119.45355018395358,117.82950000000001,116.20544981604644,57.61289082069103,118.3,117.34,115.7,109.46,119.75
2006-02-17,118.14,118.89,117.88,118.16,0,119.23499169594788,117.95549999999999,116.67600830405209,57.87453015568407,118.89,117.88,115.7,109.46,119.75
2006-02-19,118.23,118.39,117.95,118.12,0,119.07376384821417,118.04699999999998,117.0202361517858,57.366080640945135,118.39,117.95,115.7,109.46,119.75
2006-02-20,118.11,118.65,118.1,118.57,0,119.09381168512857,118.1135,117.13318831487143,61.467419553162294,118.65,118.1,115.7,109.46,119.75
2006-02-21,118.56,119.03,118.4,118.67,0,119.12599999999979,118.178,117.2300000000002,62.334552524746144,119.03,118.4,115.7,109.46,119.75
2006-02-22,118.68,118.91,117.66,117.75,0,119.11948703892658,118.184,117.24851296107342,50.97016239572598,118.91,117.66,115.7,109.46,119.75
2006-02-23,117.74,117.82,116.46,116.72,0,119.21253978547112,118.16,117.10746021452887,41.78526117905266,117.82,116.46,115.7,109.46,119.75
2006-02-24,116.71,117.15,116.56,116.89,0,119.27464581557885,118.08900000000001,116.90335418442118,43.592000717637134,117.15,116.56,115.7,109.46,119.75
