Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2
2003-01-01,118.8,119.05,118.65,118.98,0,,,,,119.05,118.65,107.32,121.34,121.62
2003-01-02,118.97,120.3,118.79,119.89,0,,,,,120.3,118.79,107.32,121.34,121.62
2003-01-03,119.9,120.23,119.62,119.71,0,,,,,120.23,119.62,107.32,121.34,121.62
2003-01-05,119.9,119.9,119.18,119.23,0,,,,,119.9,119.18,107.32,121.34,121.62
2003-01-06,119.24,119.66,118.58,119.54,0,,,,,119.66,118.58,107.32,121.34,121.62
2003-01-07,119.55,120.63,119.37,120.19,0,,,,,120.63,119.37,107.32,121.34,121.62
2003-01-08,120.18,120.46,118.7,118.99,0,,,,,120.46,118.7,107.32,121.34,121.62
2003-01-09,119.0,120.06,118.77,119.97,0,,,,,120.06,118.77,107.32,121.34,121.62
2003-01-10,119.96,119.97,119.1,119.31,0,,,,,119.97,119.1,107.32,121.34,121.62
2003-01-12,119.24,119.37,119.08,119.14,0,,,,,119.37,119.08,107.32,121.34,121.62
2003-01-13,119.13,119.48,118.76,118.78,0,,,,,119.48,118.76,107.32,121.34,121.62
2003-01-14,118.79,119.04,117.59,118.17,0,,,,,119.04,117.59,107.32,121.34,121.62
2003-01-15,118.16,118.42,117.81,118.25,0,,,,,118.42,117.81,107.32,121.34,121.62
2003-01-16,118.26,118.27,117.68,118.19,0,,,,39.148988582100856,118.27,117.68,107.32,121.34,121.62
2003-01-17,118.18,118.19,117.45,117.77,0,,,,35.236747334894346,118.19,117.45,107.32,121.34,121.62
2003-01-19,118.01,118.35,117.88,118.25,0,,,,42.32979977501621,118.35,117.88,107.32,121.34,121.62
2003-01-20,118.26,118.88,117.93,118.83,0,,,,49.523686376981026,118.88,117.93,107.32,121.34,121.62
2003-01-21,118.82,119.17,118.02,118.19,0,,,,43.130295898548766,119.17,118.02,107.32,121.34,121.62
2003-01-22,118.18,118.85,117.99,118.73,0,,,,49.101005360701464,118.85,117.99,107.32,121.34,121.62
2003-01-23,118.74,118.77,117.69,117.94,0,120.30511006698227,118.9025,117.49988993301774,42.13194131717693,118.77,117.69,107.32,121.34,121.62
2003-01-24,117.93,118.22,117.58,117.83,0,120.32247758020215,118.845,117.36752241979785,41.25393086746851,118.22,117.58,107.32,121.34,121.62
2003-01-26,117.89,118.05,117.82,117.85,0,120.19933924619231,118.74300000000001,117.28666075380771,41.49266828960552,118.05,117.82,107.32,121.34,121.62
2003-01-27,117.84,119.32,117.58,118.46,0,120.07129078225303,118.68050000000001,117.28970921774699,48.3827038321329,119.32,117.58,107.32,121.34,121.62
2003-01-28,118.47,118.97,118.02,118.17,0,120.01126117881662,118.62750000000001,117.2437388211834,45.63146418881536,118.97,118.02,107.32,121.34,121.62
2003-01-29,118.16,118.83,117.88,118.64,0,119.90166450831576,118.58250000000001,117.26333549168426,50.540256821582474,118.83,117.88,107.32,121.34,121.62
2003-01-30,118.63,119.5,118.48,119.05,0,119.64536561693801,118.52550000000001,117.40563438306201,54.40741509105417,119.5,118.48,107.32,121.34,121.62
2003-01-31,119.06,120.1,118.93,119.93,0,119.83608023093112,118.57249999999999,117.30891976906886,61.38601379656656,120.1,118.93,107.32,121.34,121.62
2003-02-02,119.83,120.93,119.82,120.25,0,119.91618078876095,118.5865,117.25681921123905,63.56969296457869,120.93,119.82,107.32,121.34,121.62
2003-02-03,120.26,120.85,120.18,120.47,0,120.18054003854064,118.6445,117.10845996145935,65.03372619315414,120.85,120.18,107.32,121.34,121.62
2003-02-04,120.48,120.48,119.52,119.69,0,120.26130928393437,118.672,117.08269071606563,56.382303652075265,120.48,119.52,107.32,121.34,121.62
2003-02-05,119.7,120.39,119.08,120.03,0,120.4306070131333,118.7345,117.0383929868667,58.94603765185589,120.39,119.08,107.32,121.34,121.62
2003-02-06,120.02,120.12,119.6,119.74,0,120.54233628886921,118.81299999999999,117.08366371113077,55.92655808791007,120.12,119.6,107.32,121.34,121.62
2003-02-07,119.73,120.44,119.72,120.33,0,120.74571648978183,118.91699999999999,117.08828351021815,60.37387225379511,120.44,119.72,107.32,121.34,121.62
2003-02-09,120.32,120.58,120.28,120.37,0,120.92684612738644,119.026,117.12515387261355,60.66367817415264,120.58,120.28,107.32,121.34,121.62
2003-02-10,120.36,121.42,120.29,121.34,0,121.26391229480646,119.20449999999998,117.1450877051935,66.9718838829456,121.42,120.29,107.32,121.34,121.62
2003-02-11,121.33,121.8,120.72,120.82,0,121.45782563990556,119.333,117.20817436009443,61.29687284832301,121.8,120.72,107.32,121.34,121.62
2003-02-12,120.81,121.5,120.48,120.97,0,121.66585713827281,119.43999999999998,117.21414286172715,62.28955107463231,121.5,120.48,107.32,121.34,121.62
2003-02-13,120.98,121.3,120.27,120.5,0,121.74942319829115,119.55549999999998,117.36157680170881,57.327967973114106,121.3,120.27,107.32,121.34,121.62
2003-02-14,120.49,120.87,120.15,120.35,0,121.8221374356238,119.6365,117.4508625643762,55.80033179606461,120.87,120.15,107.32,121.34,121.62
2003-02-16,120.45,120.8,120.42,120.48,0,121.83211572071765,119.7635,117.69488427928233,56.87293735333531,120.8,120.42,107.32,121.34,121.62
2003-02-17,120.47,120.66,119.17,119.2,0,121.72309069058049,119.832,117.9409093094195,45.23348848477569,120.66,119.17,107.32,121.34,121.62
2003-02-18,119.21,119.43,118.73,119.07,0,121.59353050546007,119.893,118.19246949453994,44.24313392385827,119.43,118.73,107.32,121.34,121.62
2003-02-19,119.06,119.23,118.61,119.03,0,121.54224396497418,119.9215,118.30075603502581,43.92446593788081,119.23,118.61,107.32,121.34,121.62
2003-02-20,119.02,119.06,118.16,118.39,0,121.50789677541887,119.93249999999998,118.35710322458108,39.07497722449496,119.06,118.16,107.32,121.34,121.62
2003-02-21,118.4,118.94,118.29,118.73,0,121.49805220924868,119.93699999999998,118.37594779075128,42.69464174971814,118.94,118.29,107.32,121.34,121.62
2003-02-23,118.89,118.93,118.33,118.37,0,121.56613078259053,119.90299999999999,118.23986921740945,39.98578222136154,118.93,118.33,107.32,121.34,121.62
2003-02-24,118.36,118.71,117.62,117.79,0,121.69679351850752,119.796,117.8952064814925,36.02050887285748,118.71,117.62,107.32,121.34,121.62
2003-02-25,117.78,117.87,117.03,117.5,0,121.7916879898406,119.6585,117.52531201015941,34.194597400890814,117.87,117.03,107.32,121.34,121.62
2003-02-26,117.51,117.67,117.04,117.16,0,121.85048255560888,119.49300000000001,117.13551744439114,32.13771051039632,117.67,117.04,107.32,121.34,121.62
2003-02-27,117.15,117.82,116.87,117.7,0,121.87409085703386,119.39349999999999,116.91290914296611,38.46839520388527,117.82,116.87,107.32,121.34,121.62
2003-02-28,117.71,118.31,117.63,118.14,0,121.81908650645173,119.299,116.77891349354829,43.124185444726166,118.31,117.63,107.32,121.34,121.62
2003-03-02,118.23,118.32,118.18,118.26,0,121.77567442061898,119.225,116.674325579381,44.360674490299395,118.32,118.18,107.32,121.34,121.62
2003-03-03,118.25,118.25,117.09,117.61,0,121.67925018096709,119.08900000000001,116.49874981903294,39.36810673898633,118.25,117.09,107.32,121.34,121.62
2003-03-04,117.62,118.1,117.15,117.37,0,121.56239398489816,118.939,116.31560601510182,37.68178714316986,118.1,117.15,107.32,121.34,121.62
