Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2008-01-31,111.87,111.96,105.0,106.41,0,,,,,111.96,105.0
2008-02-29,106.42,108.63,103.73,103.77,0,,,,,108.63,103.73
2008-03-31,103.65,104.22,95.76,99.89,0,,,,,104.22,95.76
2008-04-30,99.88,104.91,99.63,103.78,0,,,,,104.91,99.63
2008-05-31,103.79,105.9,102.59,105.54,0,,,,,105.9,102.59
2008-06-30,105.54,108.61,103.91,106.15,0,,,,,108.61,103.91
2008-07-31,106.14,108.4,103.79,107.7,0,,,,,108.4,103.79
2008-08-31,107.69,110.68,107.31,108.46,0,,,,,110.68,107.31
2008-09-30,108.47,109.2,103.54,105.93,0,,,,,109.2,103.54
2008-10-31,105.92,106.39,90.92,98.49,0,,,,,106.39,90.92
2008-11-30,98.74,100.58,93.58,95.36,0,,,,,100.58,93.58
2008-12-31,95.37,95.37,87.13,90.75,0,,,,,95.37,87.13
