Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2019-01-31,109.648,109.999,104.736,108.86,0,,,,,109.999,104.736
2019-02-28,108.858,111.769,108.836,111.661,0,,,,,111.769,108.836
2019-03-31,111.662,112.137,109.708,111.081,0,,,,,112.137,109.708
2019-04-30,111.081,112.399,110.81,111.495,0,,,,,112.399,110.81
2019-05-31,111.495,111.699,108.277,108.278,0,,,,,111.699,108.277
2019-06-30,108.275,108.8,106.778,108.266,0,,,,,108.8,106.778
2019-07-31,108.266,109.318,107.211,109.237,0,,,,,109.318,107.211
2019-08-31,109.237,109.254,104.453,106.228,0,,,,,109.254,104.453
2019-09-30,106.061,108.475,105.737,108.257,0,,,,,108.475,105.737
2019-10-31,108.257,109.287,106.483,108.017,0,,,,,109.287,106.483
2019-11-30,108.016,109.669,107.918,109.469,0,,,,,109.669,107.918
2019-12-31,109.509,109.727,108.427,108.619,0,,,,,109.727,108.427
