Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2015-01-31,119.666,120.742,115.851,117.476,0,,,,,120.742,115.851
2015-02-28,116.93,120.478,116.876,119.592,0,,,,,120.478,116.876
2015-03-31,119.704,122.015,118.328,119.567,0,,,,,122.015,118.328
2015-04-30,119.566,120.847,118.496,119.69,0,,,,,120.847,118.496
2015-05-31,119.687,124.459,118.887,124.107,0,,,,,124.459,118.887
2015-06-30,124.108,125.854,121.941,122.498,0,,,,,125.854,121.941
2015-07-31,122.498,124.581,120.412,123.851,0,,,,,124.581,120.412
2015-08-31,123.882,125.279,116.132,120.81,0,,,,,125.279,116.132
2015-09-30,120.81,121.327,118.596,120.159,0,,,,,121.327,118.596
2015-10-31,120.162,121.499,118.063,120.602,0,,,,,121.499,118.063
2015-11-30,120.345,123.751,120.255,122.945,0,,,,,123.751,120.255
2015-12-31,122.944,123.67,120.003,120.235,0,,,,,123.67,120.003
