Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1,resistance_level_2
2017-01-02,116.858,117.662,116.858,117.323,0,,,,,117.662,116.858,111.948,110.347,108.312,115.068,115.337
2017-01-03,117.323,118.605,117.224,118.003,0,,,,,118.605,117.224,111.948,110.347,108.312,115.068,115.337
2017-01-04,118.002,118.18,116.282,116.393,0,,,,,118.18,116.282,111.948,110.347,108.312,115.068,115.337
2017-01-05,116.394,116.787,115.069,115.938,0,,,,,116.787,115.069,111.948,110.347,108.312,115.068,115.337
2017-01-06,115.938,117.179,115.721,116.947,0,,,,,117.179,115.721,111.948,110.347,108.312,115.068,115.337
2017-01-08,117.002,117.496,116.996,117.494,0,,,,,117.496,116.996,111.948,110.347,108.312,115.068,115.337
2017-01-09,117.493,117.531,115.196,115.466,0,,,,,117.531,115.196,111.948,110.347,108.312,115.068,115.337
2017-01-10,115.462,116.343,115.286,116.068,0,,,,,116.343,115.286,111.948,110.347,108.312,115.068,115.337
2017-01-11,116.069,116.87,114.244,114.64,0,,,,,116.87,114.244,111.948,110.347,108.312,115.068,115.337
2017-01-12,114.638,115.179,113.755,114.939,0,,,,,115.179,113.755,111.948,110.347,108.312,115.068,115.337
2017-01-13,114.939,115.443,114.168,114.449,0,,,,,115.443,114.168,111.948,110.347,108.312,115.068,115.337
2017-01-15,114.316,114.471,113.974,114.124,0,,,,,114.471,113.974,111.948,110.347,108.312,115.068,115.337
2017-01-16,114.123,114.389,113.622,113.885,0,,,,,114.389,113.622,111.948,110.347,108.312,115.068,115.337
2017-01-17,113.885,113.885,112.564,113.041,0,,,,26.000076057455985,113.885,112.564,111.948,110.347,108.312,115.068,115.337
2017-01-18,113.041,114.891,112.996,114.499,0,,,,40.27610329969145,114.891,112.996,111.948,110.347,108.312,115.068,115.337
2017-01-19,114.5,115.616,114.4,114.723,0,,,,42.12347266459723,115.616,114.4,111.948,110.347,108.312,115.068,115.337
2017-01-20,114.724,115.384,114.209,114.582,0,,,,41.258358691519504,115.384,114.209,111.948,110.347,108.312,115.068,115.337
2017-01-22,114.239,114.418,113.44,113.746,0,,,,36.47516202951883,114.418,113.44,111.948,110.347,108.312,115.068,115.337
2017-01-23,113.746,114.073,112.522,112.979,0,,,,32.726474178972495,114.073,112.522,111.948,110.347,108.312,115.068,115.337
2017-01-24,112.98,113.987,112.777,113.561,0,118.06323765711926,115.14000000000001,112.21676234288077,37.93861140583492,113.987,112.777,111.948,110.347,108.312,115.068,115.337
2017-01-25,113.563,113.935,113.036,113.281,0,117.78746473167396,114.93790000000001,112.08833526832606,36.47447859200629,113.935,113.036,111.948,110.347,108.312,115.068,115.337
2017-01-26,113.276,115.037,113.232,114.917,0,117.26269357628954,114.7836,112.30450642371048,48.88654825790079,115.037,113.232,111.948,110.347,108.312,115.068,115.337
2017-01-27,114.919,115.374,114.743,115.068,0,117.08937270436013,114.71734999999998,112.34532729563983,49.86031711378966,115.374,114.743,111.948,110.347,108.312,115.068,115.337
2017-01-29,114.723,114.951,114.263,114.504,0,116.95151957783827,114.64565,112.33978042216174,46.3114033111419,114.951,114.263,111.948,110.347,108.312,115.068,115.337
2017-01-30,114.502,114.935,113.241,113.553,0,116.56912380788124,114.47595000000001,112.38277619211878,41.01080595702331,114.935,113.241,111.948,110.347,108.312,115.068,115.337
2017-01-31,113.554,113.962,112.079,113.216,0,115.90343154918351,114.26205,112.6206684508165,39.29446971162153,113.962,112.079,111.948,110.347,108.312,115.068,115.337
2017-02-01,113.216,113.951,112.637,112.813,0,115.78885754992409,114.1294,112.46994245007592,37.2849272011893,113.951,112.637,111.948,110.347,108.312,115.068,115.337
2017-02-02,112.81,113.233,112.051,112.987,0,115.44784968081493,113.97535,112.50285031918509,38.74159439745036,113.233,112.051,111.948,110.347,108.312,115.068,115.337
2017-02-03,112.986,113.467,112.315,112.567,0,115.43170642306372,113.8717,112.31169357693629,36.535671979015014,113.467,112.315,111.948,110.347,108.312,115.068,115.337
2017-02-05,112.439,112.707,112.225,112.534,0,115.33443521471304,113.75145,112.16846478528697,36.360489046090706,112.707,112.225,111.948,110.347,108.312,115.068,115.337
2017-02-06,112.536,112.775,111.591,111.948,0,115.35742956647196,113.62640000000002,111.89537043352807,33.30647052706939,112.775,111.591,111.948,110.347,108.312,115.068,115.337
2017-02-07,111.946,112.577,111.743,112.294,0,115.34280241993312,113.5349,111.72699758006686,36.68783718746915,112.577,111.743,111.948,110.347,108.312,115.068,115.337
2017-02-08,112.293,112.484,111.63,112.149,0,115.34494052044448,113.4481,111.55125947955551,35.86714193105621,112.484,111.63,111.948,110.347,108.312,115.068,115.337
2017-02-09,112.15,113.798,112.111,113.687,0,115.37039983068783,113.48039999999999,111.59040016931215,48.91947582386933,113.798,112.111,111.948,110.347,108.312,115.068,115.337
2017-02-10,113.688,113.855,112.86,113.186,0,115.24905770319488,113.41475,111.58044229680512,45.65956707480408,113.855,112.86,111.948,110.347,108.312,115.068,115.337
2017-02-12,113.545,114.166,113.453,113.841,0,115.1173439371281,113.37065,111.6239560628719,50.32065963089209,114.166,113.453,111.948,110.347,108.312,115.068,115.337
2017-02-13,113.842,114.062,113.39,113.426,0,114.96956823494523,113.31284999999998,111.65613176505474,47.538381728042985,114.062,113.39,111.948,110.347,108.312,115.068,115.337
2017-02-14,113.426,114.507,113.248,114.399,0,115.05981379857951,113.34550000000002,111.63118620142052,53.965120126610664,114.507,113.248,111.948,110.347,108.312,115.068,115.337
2017-02-15,114.401,114.956,113.763,113.858,0,115.10898836537602,113.38944999999998,111.66991163462394,50.27713968114798,114.956,113.763,111.948,110.347,108.312,115.068,115.337
2017-02-16,113.861,114.037,113.085,113.336,0,115.09604499882849,113.37819999999999,111.6603550011715,46.9435702916727,114.037,113.085,111.948,110.347,108.312,115.068,115.337
2017-02-17,113.335,113.468,112.618,112.817,0,115.0899172890948,113.35499999999999,111.62008271090518,43.831784939931644,113.468,112.618,111.948,110.347,108.312,115.068,115.337
2017-02-19,112.85,113.184,112.791,113.006,0,114.84368804713813,113.25944999999999,111.67521195286184,45.254957118878906,113.184,112.791,111.948,110.347,108.312,115.068,115.337
