Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,resistance_level_1
2003-01-05,118.8,120.3,118.65,119.23,0,,,,,120.3,118.65,121.06
2003-01-12,119.24,120.63,118.58,119.14,0,,,,,120.63,118.58,121.06
2003-01-19,119.13,119.48,117.45,118.25,0,,,,,119.48,117.45,121.06
2003-01-26,118.26,119.17,117.58,117.85,0,,,,,119.17,117.58,121.06
2003-02-02,117.84,120.93,117.58,120.25,0,,,,,120.93,117.58,121.06
2003-02-09,120.26,120.85,119.08,120.37,0,,,,,120.85,119.08,121.06
2003-02-16,120.36,121.8,120.15,120.48,0,,,,,121.8,120.15,121.06
2003-02-23,120.47,120.66,118.16,118.37,0,,,,,120.66,118.16,121.06
2003-03-02,118.36,118.71,116.87,118.26,0,,,,,118.71,116.87,121.06
2003-03-09,118.25,118.25,116.39,116.8,0,,,,,118.25,116.39,121.06
2003-03-16,116.79,118.79,116.45,117.94,0,,,,,118.79,116.45,121.06
2003-03-23,117.93,121.9,117.59,121.06,0,,,,,121.9,117.59,121.06
2003-03-30,121.05,121.06,119.33,119.35,0,,,,,121.06,119.33,121.06
2003-04-06,119.34,120.82,117.66,120.78,0,,,,57.52346366642799,120.82,117.66,121.06
2003-04-13,120.77,120.93,119.16,120.58,0,,,,56.43045132300826,120.93,119.16,121.06
2003-04-20,120.57,120.83,118.97,120.0,0,,,,53.26933831708915,120.83,118.97,121.06
2003-04-27,119.99,121.17,119.39,120.19,0,,,,54.174945337026635,121.17,119.39,121.06
2003-05-04,120.18,120.76,118.17,119.03,0,,,,48.05227501203918,120.76,118.17,121.06
2003-05-11,119.04,119.07,116.04,116.89,0,,,,39.241262257668474,119.07,116.04,121.06
2003-05-18,116.9,117.56,115.23,115.37,0,121.99514884070447,119.0095,116.02385115929553,34.41438371795644,117.56,115.23,121.06
2003-05-25,115.36,117.82,115.12,116.89,0,122.01469073728688,118.8925,115.77030926271311,42.08607448071226,117.82,115.12,121.06
2003-06-01,116.9,119.7,116.22,119.13,0,122.01403523362566,118.89200000000001,115.76996476637436,51.153870728994214,119.7,116.22,121.06
2003-06-08,119.12,119.4,117.37,118.41,0,122.01622848969713,118.9,115.78377151030288,48.52394196022175,119.4,117.37,121.06
