Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1,resistance_level_2,resistance_level_3
2018-01-01,112.645,112.789,112.576,112.708,0,,,,,112.789,112.576,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-02,112.707,112.737,112.054,112.325,0,,,,,112.737,112.054,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-03,112.324,112.777,112.189,112.651,0,,,,,112.777,112.189,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-04,112.651,112.882,112.487,112.876,0,,,,,112.882,112.487,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-05,112.877,113.307,112.876,113.023,0,,,,,113.307,112.876,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-07,113.116,113.201,113.005,113.197,0,,,,,113.201,113.005,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-08,113.198,113.384,112.496,112.616,0,,,,,113.384,112.496,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-09,112.614,112.965,112.167,112.287,0,,,,,112.965,112.167,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-10,112.286,112.378,111.27,111.748,0,,,,,112.378,111.27,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-11,111.748,111.874,111.042,111.234,0,,,,,111.874,111.042,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-12,111.234,111.694,110.914,111.027,0,,,,,111.694,110.914,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-14,111.08,111.182,110.623,110.679,0,,,,,111.182,110.623,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-15,110.678,110.98,110.327,110.852,0,,,,,110.98,110.327,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-16,110.852,110.94,110.192,110.856,0,,,,23.30632817483408,110.94,110.192,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-17,110.854,111.481,110.599,111.354,0,,,,36.75555675770167,111.481,110.599,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-18,111.355,111.376,110.694,110.855,0,,,,30.906978783206128,111.376,110.694,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-19,110.852,110.923,110.49,110.764,0,,,,29.970397840109868,110.923,110.49,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-21,110.533,110.868,110.502,110.793,0,,,,30.691203863500377,110.868,110.502,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-22,110.794,111.221,110.559,110.783,0,,,,30.574339923761187,111.221,110.559,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-23,110.781,111.176,109.804,109.889,0,113.55242367105438,111.62584999999999,109.69927632894559,22.372610148356785,111.176,109.804,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-24,109.89,110.083,108.92,109.006,0,113.61172930667247,111.44075000000001,109.26977069332754,17.406043219544614,110.083,108.92,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-25,109.006,109.769,108.5,109.408,0,113.59665957910467,111.29490000000001,108.99314042089536,25.513206997875614,109.769,108.5,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-26,109.407,109.588,108.281,108.553,0,113.5931905241112,111.08999999999999,108.58680947588878,20.830076283140656,109.588,108.281,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-28,108.674,108.987,108.508,108.739,0,113.44484789592765,110.88315,108.32145210407235,24.09427992253171,108.987,108.508,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-29,108.74,109.203,108.622,108.758,0,113.19336086952032,110.66990000000001,108.1464391304797,24.43700942936036,109.203,108.622,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-30,108.759,109.088,108.413,108.849,0,112.81145998270428,110.45249999999999,108.0935400172957,26.156739675639074,109.088,108.413,108.553,105.708,105.492,111.139,112.948,114.254
2018-01-31,108.85,109.443,108.594,109.289,0,112.47443766619023,110.28614999999999,108.09786233380976,33.98056205112027,109.443,108.594,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-01,109.288,109.749,109.225,109.671,0,112.1541421627824,110.15535,108.15655783721759,39.93106183194295,109.749,109.225,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-02,109.672,110.479,109.621,110.125,0,111.93476610739859,110.07419999999999,108.2136338926014,46.1439468612062,110.479,109.621,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-04,110.179,110.28,109.791,109.997,0,111.795204259327,110.01235,108.229495740673,44.73897322557209,110.28,109.791,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-05,109.998,110.263,108.454,108.655,0,111.70617443980444,109.89375,108.08132556019555,33.29337516836904,110.263,108.454,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-06,108.649,109.707,108.609,109.273,0,111.61756721746393,109.82345000000001,108.02933278253609,40.80383752769691,109.707,108.609,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-07,109.275,109.701,108.918,109.56,0,111.49218842915934,109.75885000000001,108.02551157084068,43.95941242037834,109.701,108.918,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-08,109.562,109.782,108.495,108.919,0,111.35529985531227,109.66199999999999,107.96870014468772,38.963613178879385,109.782,108.495,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-09,108.92,109.307,108.045,108.755,0,111.07855360167724,109.53205,107.98554639832275,37.780592422653385,109.307,108.045,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-11,108.873,108.881,108.559,108.664,0,110.88685357752173,109.42249999999999,107.95814642247824,37.10734416029937,108.881,108.559,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-12,108.666,108.807,108.333,108.367,0,110.698990542275,109.30265,107.906309457725,34.92017378775412,108.807,108.333,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-13,108.367,108.376,106.838,107.102,0,110.64711130146279,109.1181,107.58908869853721,27.48842045321753,108.376,106.838,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-14,107.103,107.553,106.302,106.599,0,110.60525242800577,108.90889999999999,107.21254757199421,25.192541359341234,107.553,106.302,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-15,106.598,106.846,105.55,105.708,0,110.8352274631201,108.69985000000001,106.56447253687992,21.73028615947304,106.846,105.55,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-16,105.705,106.398,105.665,106.176,0,110.95312892716662,108.55834999999999,106.16357107283336,27.376014861878602,106.398,105.665,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-18,106.291,106.444,106.093,106.39,0,110.94513599121353,108.40745,105.86976400878646,29.86716696510257,106.444,106.093,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-19,106.391,106.86,106.353,106.787,0,110.9515628304659,108.31915000000001,105.68673716953411,34.36513322653509,106.86,106.353,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-20,106.787,107.901,106.738,107.782,0,110.9062364394614,108.2713,105.6363635605386,44.05035183991378,107.901,106.738,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-21,107.784,107.899,107.155,107.426,0,110.85435636262542,108.20469999999997,105.55504363737452,41.68050957592061,107.899,107.155,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-22,107.426,107.605,106.592,106.972,0,110.79531138173034,108.11085,105.42638861826966,38.812797509816676,107.605,106.592,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-23,106.973,107.131,106.51,106.85,0,110.66979290349347,107.98889999999999,105.3080070965065,38.055085985736824,107.131,106.51,108.553,105.708,105.492,111.139,112.948,114.254
2018-02-25,107.133,107.133,106.439,106.623,0,110.46357597910716,107.8365,105.20942402089284,36.62247795246615,107.133,106.439,108.553,105.708,105.492,111.139,112.948,114.254
