Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2009-01-31,90.76,94.66,87.14,90.02,0,,,,,94.66,87.14
2009-02-28,90.05,98.73,88.62,97.68,0,,,,,98.73,88.62
2009-03-31,97.76,99.7,93.55,98.71,0,,,,,99.7,93.55
2009-04-30,98.71,101.47,95.64,98.91,0,,,,,101.47,95.64
2009-05-31,98.91,99.79,93.87,95.0,0,,,,,99.79,93.87
2009-06-30,95.01,98.88,94.45,96.78,0,,,,,98.88,94.45
2009-07-31,96.77,96.96,91.74,94.66,0,,,,,96.96,91.74
2009-08-31,94.76,97.78,92.55,93.13,0,,,,,97.78,92.55
2009-09-30,93.12,93.44,88.24,89.98,0,,,,,93.44,88.24
2009-10-31,89.99,92.32,88.0,90.09,0,,,,,92.32,88.0
2009-11-30,89.7,91.32,84.84,87.38,0,,,,,91.32,84.84
2009-12-31,87.39,93.14,86.51,93.02,0,,,,,93.14,86.51
