Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi
2024-01-01 17:00:00,140.843,140.961,140.839,140.875,0,,,,
2024-01-01 18:00:00,140.883,141.128,140.811,141.11,0,,,,
2024-01-01 19:00:00,141.11,141.378,141.096,141.14,0,,,,
2024-01-01 20:00:00,141.142,141.456,141.141,141.439,0,,,,
2024-01-01 21:00:00,141.435,141.669,141.364,141.562,0,,,,
2024-01-01 22:00:00,141.561,141.665,141.494,141.499,0,,,,
2024-01-01 23:00:00,141.501,141.585,141.459,141.537,0,,,,
2024-01-02 00:00:00,141.533,141.533,141.345,141.35,0,,,,
2024-01-02 01:00:00,141.35,141.55,141.335,141.521,0,,,,
2024-01-02 02:00:00,141.519,141.604,141.387,141.544,0,,,,
2024-01-02 03:00:00,141.543,141.592,141.29,141.555,0,,,,
2024-01-02 04:00:00,141.555,141.672,141.377,141.552,0,,,,
2024-01-02 05:00:00,141.552,141.771,141.504,141.649,0,,,,
2024-01-02 06:00:00,141.65,141.887,141.59,141.825,0,,,,82.62839007588141
2024-01-02 07:00:00,141.825,142.216,141.791,142.114,0,,,,87.07221624574828
2024-01-02 08:00:00,142.114,142.16,141.885,142.15,0,,,,87.50113679141002
2024-01-02 09:00:00,142.15,142.175,141.51,141.546,0,,,,54.70612244240483
2024-01-02 10:00:00,141.548,142.015,141.499,141.925,0,,,,63.8593968256522
2024-01-02 11:00:00,141.924,141.998,141.711,141.892,0,,,,62.671801253496376
2024-01-02 12:00:00,141.891,141.998,141.877,141.971,0,142.22705850796058,141.5878,140.9485414920394,64.37961386135673
2024-01-02 13:00:00,141.97,142.001,141.847,141.949,0,142.2085917033426,141.6415,141.07440829665742,63.50822217936454
2024-01-02 14:00:00,141.947,142.0,141.901,141.946,0,142.2092749423689,141.68329999999997,141.15732505763106,63.38223804105424
2024-01-02 15:00:00,141.947,141.974,141.803,141.966,0,142.2008097857037,141.7246,141.2483902142963,63.896434909879034
2024-01-02 16:00:00,141.966,142.017,141.943,141.978,0,142.2210171340999,141.75155,141.28208286590012,64.22107403834795
2024-01-02 17:00:00,141.971,142.056,141.856,142.041,0,142.25265343444215,141.7755,141.29834656555784,65.95202987241538
2024-01-02 18:00:00,142.041,142.181,142.041,142.173,0,142.29852958218356,141.8092,141.31987041781645,69.3030148202214
2024-01-02 19:00:00,142.174,142.174,141.858,141.954,0,142.30657847763794,141.83005,141.35352152236206,58.93877966276473
2024-01-02 20:00:00,141.954,142.135,141.907,142.013,0,142.2913217583818,141.86319999999998,141.43507824161816,60.64629018887376
2024-01-02 21:00:00,142.013,142.063,141.984,142.034,0,142.2926703932442,141.88885,141.48502960675577,61.263739340369135
