Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1,resistance_level_2,resistance_level_3
2019-01-01,109.648,109.726,109.336,109.387,0,,,,,109.726,109.336,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-02,109.387,109.464,104.736,107.152,0,,,,,109.464,104.736,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-03,107.153,108.445,106.746,108.334,0,,,,,108.445,106.746,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-04,108.335,108.589,107.821,108.518,0,,,,,108.589,107.821,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-06,108.503,108.622,108.019,108.301,0,,,,,108.622,108.019,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-07,108.301,108.997,108.067,108.987,0,,,,,108.997,108.067,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-08,108.987,109.087,108.441,108.864,0,,,,,109.087,108.441,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-09,108.867,108.99,107.819,107.975,0,,,,,108.99,107.819,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-10,107.975,108.518,107.769,108.317,0,,,,,108.518,107.769,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-11,108.316,108.597,108.145,108.528,0,,,,,108.597,108.145,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-13,108.499,108.555,108.06,108.115,0,,,,,108.555,108.06,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-14,108.114,108.576,107.986,108.556,0,,,,,108.576,107.986,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-15,108.557,108.765,108.329,108.477,0,,,,,108.765,108.329,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-16,108.477,109.195,108.428,109.011,0,,,,52.517310863200386,109.195,108.428,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-17,109.011,109.439,108.686,109.378,0,,,,56.45209859200488,109.439,108.686,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-18,109.377,109.889,109.305,109.769,0,,,,60.23307039439902,109.889,109.305,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-20,109.679,109.767,109.474,109.589,0,,,,57.74736963122,109.767,109.474,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-21,109.589,109.693,109.411,109.469,0,,,,56.08564526237764,109.693,109.411,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-22,109.468,109.797,109.146,109.695,0,,,,58.507290145545895,109.797,109.146,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-23,109.695,109.999,109.394,109.55,0,110.14153267143219,108.7986,107.4556673285678,56.35986448586394,109.999,109.394,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-24,109.555,109.871,109.421,109.748,0,110.1998326018281,108.81664999999998,107.43346739817186,58.594701940755705,109.871,109.421,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-25,109.746,109.949,109.453,109.539,0,110.12190151361739,108.93599999999999,107.7500984863826,55.3713288484152,109.949,109.453,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-27,109.543,109.576,109.264,109.394,0,110.15716026297765,108.98899999999999,107.82083973702233,53.18532731314481,109.576,109.264,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-28,109.394,109.525,109.129,109.272,0,110.18020025574339,109.0267,107.87319974425662,51.34849403391191,109.525,109.129,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-29,109.273,109.541,109.207,109.364,0,110.19191533531085,109.07985000000001,107.96778466468916,52.67580837612745,109.541,109.207,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-30,109.365,109.743,108.77,108.818,0,110.18871488847148,109.0714,107.95408511152851,44.85459801758962,109.743,108.77,108.001,106.946,105.455,109.769,111.026,111.961
2019-01-31,108.818,108.967,108.497,108.86,0,110.1886647376987,109.0712,107.95373526230131,45.52464332679523,108.967,108.497,108.001,106.946,105.455,109.769,111.026,111.961
2019-02-01,108.858,109.58,108.836,109.504,0,110.15882817915539,109.14765,108.1364718208446,54.62804345677975,109.58,108.836,108.001,106.946,105.455,109.769,111.026,111.961
