Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2018-01-31,112.645,113.384,108.281,109.289,0,,,,,113.384,108.281
2018-02-28,109.288,110.479,105.55,106.811,0,,,,,110.479,105.55
2018-03-31,106.812,107.293,104.627,106.247,0,,,,,107.293,104.627
2018-04-30,106.206,109.535,105.654,109.358,0,,,,,109.535,105.654
2018-05-31,109.358,111.393,108.109,109.154,0,,,,,111.393,108.109
2018-06-30,109.153,110.939,109.031,110.67,0,,,,,110.939,109.031
2018-07-31,110.584,113.175,110.279,111.941,0,,,,,113.175,110.279
2018-08-31,111.941,112.15,109.773,111.018,0,,,,,112.15,109.773
2018-09-30,111.065,113.96,110.377,113.881,0,,,,,113.96,110.377
2018-10-31,113.881,114.548,111.374,112.851,0,,,,,114.548,111.374
2018-11-30,112.85,114.204,112.303,113.54,0,,,,,114.204,112.303
2018-12-31,113.632,113.819,109.556,109.6,0,,,,,113.819,109.556
