Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2011-01-31,81.22,83.67,80.92,81.89,0,,,,,83.67,80.92
2011-02-28,81.88,83.96,81.11,82.15,0,,,,,83.96,81.11
2011-03-31,82.14,83.73,76.49,83.71,0,,,,,83.73,76.49
2011-04-30,83.72,85.51,81.03,81.18,0,,,,,85.51,81.03
2011-05-31,81.11,82.22,79.56,81.21,0,,,,,82.22,79.56
2011-06-30,81.22,81.49,79.69,80.72,0,,,,,81.49,79.69
2011-07-31,80.73,81.47,76.72,77.43,0,,,,,81.47,76.72
2011-08-31,77.44,80.23,75.94,76.91,0,,,,,80.23,75.94
2011-09-30,76.92,77.85,76.1,77.04,0,,,,,77.85,76.1
2011-10-31,77.09,79.52,75.56,78.13,0,,,,,79.52,75.56
2011-11-30,78.14,78.45,76.57,77.66,0,,,,,78.45,76.57
2011-12-31,77.67,78.215,76.87,76.901,0,,,,,78.215,76.87
