Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2001-01-07,114.61,116.92,113.6,116.31,0,,,,,116.92,113.6,119.13,116.45
2001-01-14,116.33,117.19,115.64,116.8,0,,,,,117.19,115.64,119.13,116.45
2001-01-21,116.75,117.11,116.29,116.87,0,,,,,117.11,116.29,119.13,116.45
2001-01-28,116.88,118.48,116.19,117.3,0,,,,,118.48,116.19,119.13,116.45
2001-02-04,117.29,117.34,114.99,116.04,0,,,,,117.34,114.99,119.13,116.45
2001-02-11,116.05,118.05,114.38,117.88,0,,,,,118.05,114.38,119.13,116.45
2001-02-18,117.89,117.97,114.59,115.87,0,,,,,117.97,114.59,119.13,116.45
2001-02-25,115.86,117.19,115.25,116.2,0,,,,,117.19,115.25,119.13,116.45
2001-03-04,116.21,119.47,115.93,119.32,0,,,,,119.47,115.93,119.13,116.45
2001-03-11,119.3,120.63,118.3,120.49,0,,,,,120.63,118.3,119.13,116.45
2001-03-18,120.48,123.41,119.34,123.39,0,,,,,123.41,119.34,119.13,116.45
2001-03-25,123.41,124.35,122.0,123.53,0,,,,,124.35,122.0,119.13,116.45
2001-04-01,123.52,126.66,121.44,126.05,0,,,,,126.66,121.44,119.13,116.45
2001-04-08,126.06,126.87,123.58,124.88,0,,,,75.86645806834869,126.87,123.58,119.13,116.45
2001-04-15,124.87,125.5,122.98,124.2,0,,,,71.66320547845594,125.5,122.98,119.13,116.45
2001-04-22,124.79,124.96,120.94,122.18,0,,,,60.873890345185465,124.96,120.94,119.13,116.45
2001-04-29,122.19,124.36,121.17,123.94,0,,,,65.7169818859174,124.36,121.17,119.13,116.45
2001-05-06,123.93,124.0,120.59,121.61,0,,,,55.85921054264261,124.0,120.59,119.13,116.45
2001-05-13,121.6,122.86,120.87,122.6,0,,,,58.694350744486734,122.86,120.87,119.13,116.45
2001-05-20,122.65,124.07,122.47,123.36,0,127.25798437727416,120.441,113.62401562272585,60.77710108317205,124.07,122.47,119.13,116.45
2001-05-27,123.31,123.43,119.03,120.62,0,127.20469753825432,120.65650000000001,114.1083024617457,50.82668579449843,123.43,119.03,119.13,116.45
2001-06-03,120.63,121.4,118.32,119.13,0,127.12249793290775,120.773,114.42350206709224,46.37985129733114,121.4,118.32,119.13,116.45
2001-06-10,119.14,121.27,118.71,121.23,0,127.08371007023968,120.99100000000001,114.89828992976035,52.665558422695916,121.27,118.71,119.13,116.45
2001-06-17,121.22,123.28,120.9,122.89,0,127.17009142653114,121.2705,115.37090857346885,56.9605859755798,123.28,120.9,119.13,116.45
2001-06-24,122.88,124.76,122.59,124.26,0,127.19922516531945,121.68149999999999,116.16377483468052,60.1725341735808,124.76,122.59,119.13,116.45
2001-07-01,124.26,125.01,123.34,124.69,0,127.39800818451755,122.022,116.64599181548246,61.152471165033994,125.01,123.34,119.13,116.45
2001-07-08,124.68,126.16,123.72,125.65,0,127.30766926106017,122.511,117.71433073893982,63.32220356894389,126.16,123.72,119.13,116.45
2001-07-15,125.67,125.9,123.53,125.02,0,126.89197258873708,122.952,119.01202741126292,60.91762090867309,125.9,123.53,119.13,116.45
2001-07-22,125.03,125.68,122.72,123.51,0,126.73526706012011,123.1615,119.5877329398799,55.479631693395106,125.68,122.72,119.13,116.45
2001-07-29,123.5,124.93,123.18,124.74,0,126.78898696922835,123.374,119.95901303077164,58.712768059662004,124.93,123.18,119.13,116.45
2001-08-05,124.73,125.4,123.35,123.87,0,126.81983927150289,123.398,119.9761607284971,55.635159131557046,125.4,123.35,119.13,116.45
2001-08-12,123.88,124.28,121.39,122.25,0,126.79126712881713,123.33399999999999,119.87673287118285,50.343358131166845,124.28,121.39,119.13,116.45
