,エントリー時間,決済時間,取引方向,エントリー価格,決済価格,損益(pips),損益(円),決済理由,戦略,ロットサイズ
0,2019-01-03 07:00:00,2019-01-03 08:15:00,買い,107.626,107.775,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
1,2019-01-04 07:00:00,2019-01-04 08:15:00,売り,108.012,108.113,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
2,2019-01-07 07:00:00,2019-01-07 10:00:00,買い,108.304,108.453,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
3,2019-01-08 07:00:00,2019-01-08 07:45:00,売り,108.64,108.741,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
4,2019-01-09 07:00:00,2019-01-09 08:30:00,売り,108.89399999999999,108.74499999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
5,2019-01-10 07:00:00,2019-01-10 09:00:00,買い,108.05300000000001,108.20200000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
6,2019-01-14 07:00:00,2019-01-14 08:30:00,買い,108.06400000000001,108.21300000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
7,2019-01-18 07:00:00,2019-01-18 07:45:00,売り,109.50399999999999,109.35499999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
8,2019-01-21 07:00:00,2019-01-21 21:45:00,買い,109.644,109.543,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
9,2019-01-22 07:00:00,2019-01-22 10:00:00,買い,109.45,109.349,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
10,2019-01-23 07:00:00,2019-01-23 08:30:00,売り,109.673,109.774,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
11,2019-01-25 07:00:00,2019-01-25 08:00:00,売り,109.812,109.913,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
12,2019-01-31 07:00:00,2019-01-31 10:00:00,買い,108.593,108.742,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
13,2019-02-04 07:00:00,2019-02-04 08:45:00,売り,109.889,109.99,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
14,2019-02-06 07:00:00,2019-02-06 10:15:00,買い,109.762,109.661,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
15,2019-02-11 07:00:00,2019-02-11 08:15:00,売り,110.17,110.271,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
16,2019-02-12 07:00:00,2019-02-12 09:30:00,売り,110.5,110.351,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
17,2019-02-13 07:00:00,2019-02-13 08:00:00,売り,110.651,110.752,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
18,2019-02-15 07:00:00,2019-02-15 08:30:00,買い,110.45700000000001,110.60600000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
19,2019-02-18 07:00:00,2019-02-18 16:30:00,売り,110.53999999999999,110.64099999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
20,2019-02-19 07:00:00,2019-02-19 09:00:00,売り,110.75099999999999,110.60199999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
21,2019-02-20 07:00:00,2019-02-20 09:30:00,売り,110.767,110.868,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
22,2019-02-22 07:00:00,2019-02-22 08:30:00,売り,110.88,110.731,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
23,2019-02-26 07:00:00,2019-02-26 08:30:00,買い,110.85300000000001,110.75200000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
24,2019-02-28 07:00:00,2019-02-28 08:30:00,買い,110.748,110.897,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
25,2019-03-01 07:00:00,2019-03-01 10:00:00,売り,111.827,111.678,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
26,2019-03-04 07:00:00,2019-03-04 11:15:00,買い,111.86,111.759,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
27,2019-03-05 07:00:00,2019-03-05 09:45:00,売り,111.946,111.797,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
28,2019-03-08 07:00:00,2019-03-08 08:30:00,買い,111.17200000000001,111.07100000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
29,2019-03-12 07:00:00,2019-03-12 10:45:00,売り,111.232,111.333,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
30,2019-03-14 07:00:00,2019-03-14 08:00:00,売り,111.56899999999999,111.66999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
31,2019-03-19 07:00:00,2019-03-19 07:45:00,買い,111.26100000000001,111.41000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
32,2019-03-20 07:00:00,2019-03-20 13:00:00,売り,111.497,111.348,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
33,2019-03-26 07:00:00,2019-03-26 08:30:00,売り,110.466,110.567,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
34,2019-03-28 07:00:00,2019-03-28 08:00:00,買い,110.414,110.563,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
35,2019-04-04 07:00:00,2019-04-04 09:30:00,買い,111.41300000000001,111.56200000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
36,2019-04-05 07:00:00,2019-04-05 08:30:00,売り,111.713,111.564,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
37,2019-04-08 07:00:00,2019-04-08 09:00:00,買い,111.45700000000001,111.35600000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
38,2019-04-09 07:00:00,2019-04-09 08:30:00,買い,111.30000000000001,111.19900000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
39,2019-04-10 07:00:00,2019-04-10 09:30:00,売り,111.23299999999999,111.08399999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
40,2019-04-11 07:00:00,2019-04-11 08:00:00,売り,111.16199999999999,111.26299999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
41,2019-04-12 07:00:00,2019-04-12 14:45:00,売り,111.973,112.074,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
42,2019-04-15 07:00:00,2019-04-16 20:00:00,買い,111.936,112.08500000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
43,2019-04-18 07:00:00,2019-04-22 20:30:00,買い,111.92800000000001,111.82700000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
44,2019-04-25 07:00:00,2019-04-25 09:15:00,買い,111.858,111.757,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
45,2019-04-26 07:00:00,2019-04-26 08:30:00,売り,111.768,111.869,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
46,2019-04-30 07:00:00,2019-04-30 10:30:00,買い,111.26400000000001,111.41300000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
47,2019-05-02 07:00:00,2019-05-02 11:45:00,買い,111.48700000000001,111.38600000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
48,2019-05-06 07:00:00,2019-05-06 17:00:00,買い,110.816,110.715,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
49,2019-05-07 07:00:00,2019-05-07 09:30:00,買い,110.595,110.494,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
50,2019-05-08 07:00:00,2019-05-08 08:45:00,買い,110.007,110.156,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
51,2019-05-09 07:00:00,2019-05-09 08:45:00,買い,109.86200000000001,109.76100000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
52,2019-05-13 07:00:00,2019-05-13 08:00:00,買い,109.65400000000001,109.55300000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
53,2019-05-14 07:00:00,2019-05-14 08:15:00,売り,109.716,109.567,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
54,2019-05-17 07:00:00,2019-05-17 08:00:00,買い,109.60300000000001,109.50200000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
55,2019-05-21 07:00:00,2019-05-21 07:15:00,売り,110.28,110.381,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
56,2019-05-22 07:00:00,2019-05-22 08:00:00,買い,110.443,110.342,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
57,2019-05-27 07:00:00,2019-05-27 20:15:00,売り,109.494,109.595,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
58,2019-05-30 07:00:00,2019-05-30 09:45:00,売り,109.711,109.812,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
59,2019-05-31 07:00:00,2019-05-31 10:15:00,買い,108.811,108.71000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
60,2019-06-03 07:00:00,2019-06-03 10:00:00,買い,108.325,108.224,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
61,2019-06-06 07:00:00,2019-06-06 08:30:00,買い,108.196,108.095,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
62,2019-06-10 07:00:00,2019-06-10 08:45:00,売り,108.63199999999999,108.48299999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
63,2019-06-11 07:00:00,2019-06-11 08:30:00,売り,108.689,108.78999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
64,2019-06-18 07:00:00,2019-06-18 08:00:00,買い,108.299,108.19800000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
65,2019-06-20 07:00:00,2019-06-20 08:00:00,買い,107.771,107.67,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
66,2019-06-25 07:00:00,2019-06-25 09:30:00,買い,107.063,106.962,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
67,2019-06-26 07:00:00,2019-06-26 14:30:00,売り,107.731,107.832,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
68,2019-07-01 07:00:00,2019-07-01 08:45:00,売り,108.24,108.341,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
69,2019-07-02 07:00:00,2019-07-02 09:15:00,買い,108.254,108.153,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
70,2019-07-03 07:00:00,2019-07-03 11:30:00,買い,107.673,107.822,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
71,2019-07-04 07:00:00,2019-07-05 02:00:00,買い,107.778,107.927,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
72,2019-07-05 07:00:00,2019-07-05 08:30:00,売り,108.07499999999999,108.17599999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
73,2019-07-11 07:00:00,2019-07-11 08:30:00,買い,108.108,108.257,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
