Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2010-01-31,92.97,93.77,89.14,90.21,0,,,,,93.77,89.14
2010-02-28,90.2,92.15,88.55,89.1,0,,,,,92.15,88.55
2010-03-31,89.09,93.64,88.14,93.4,0,,,,,93.64,88.14
2010-04-30,93.41,94.78,91.59,93.84,0,,,,,94.78,91.59
2010-05-31,93.9,94.98,88.26,91.0,0,,,,,94.98,88.26
2010-06-30,91.01,92.87,88.08,88.17,0,,,,,92.87,88.08
2010-07-31,88.16,89.14,85.93,86.46,0,,,,,89.14,85.93
2010-08-31,86.34,86.87,83.58,84.47,0,,,,,86.87,83.58
2010-09-30,84.48,85.92,82.86,83.37,0,,,,,85.92,82.86
2010-10-31,83.38,83.97,80.23,80.64,0,,,,,83.97,80.23
2010-11-30,80.63,84.39,80.32,83.52,0,,,,,84.39,80.32
2010-12-31,83.53,84.5,80.93,81.18,0,,,,,84.5,80.93
