Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2003-01-31,118.8,120.63,117.45,119.93,0,,,,,120.63,117.45
2003-02-28,119.83,121.8,116.87,118.14,0,,,,,121.8,116.87
2003-03-31,118.23,121.9,116.39,118.26,0,,,,,121.9,116.39
2003-04-30,118.27,121.17,117.66,118.93,0,,,,,121.17,117.66
2003-05-31,118.92,119.66,115.12,119.39,0,,,,,119.66,115.12
2003-06-30,119.63,120.26,117.21,119.69,0,,,,,120.26,117.21
2003-07-31,119.7,120.68,116.77,120.41,0,,,,,120.68,116.77
2003-08-31,120.41,120.73,116.18,116.72,0,,,,,120.73,116.18
2003-09-30,116.72,117.75,110.14,111.23,0,,,,,117.75,110.14
2003-10-31,111.23,111.45,107.89,110.0,0,,,,,111.45,107.89
2003-11-30,110.03,111.52,107.55,109.73,0,,,,,111.52,107.55
2003-12-31,109.73,109.84,106.75,107.44,0,,,,,109.84,106.75
