timestamp,strategy,signal,entry_price,stop_loss,take_profit,lot_size,risk_amount
2024-01-11 08:30:00,core,-1,145.913,10,30,0.2,45000.0
2024-01-11 08:45:00,core,-1,146.246,10,30,0.2,45000.0
2024-01-11 09:00:00,core,-1,146.181,10,30,0.2,45000.0
2024-01-11 14:15:00,core,1,145.512,10,30,0.2,45000.0
2024-01-11 14:30:00,core,1,145.567,10,30,0.2,45000.0
2024-01-11 14:45:00,core,1,145.483,10,30,0.2,45000.0
2024-01-11 15:00:00,core,1,145.461,10,30,0.2,45000.0
2024-01-11 18:15:00,core,1,145.032,10,30,0.2,45000.0
2024-01-11 18:30:00,core,1,144.961,10,30,0.2,45000.0
2024-01-12 02:00:00,core,-1,145.262,10,30,0.2,45000.0
2024-01-12 07:45:00,core,-1,145.366,10,30,0.2,45000.0
2024-01-12 08:00:00,core,-1,145.431,10,30,0.2,45000.0
2024-01-12 08:15:00,core,-1,145.417,10,30,0.2,45000.0
2024-01-12 08:45:00,core,1,144.787,10,30,0.2,45000.0
2024-01-12 09:15:00,core,1,144.561,10,30,0.2,45000.0
2024-01-12 09:30:00,core,1,144.439,10,30,0.2,45000.0
2024-01-12 09:45:00,core,1,144.539,10,30,0.2,45000.0
2024-01-12 10:00:00,core,1,144.436,10,30,0.2,45000.0
2024-01-14 18:00:00,core,-1,144.998,10,30,0.2,45000.0
2024-01-14 18:15:00,core,-1,145.044,10,30,0.2,45000.0
2024-01-14 18:45:00,core,-1,145.148,10,30,0.2,45000.0
2024-01-14 19:00:00,core,-1,145.15,10,30,0.2,45000.0
2024-01-14 19:15:00,core,-1,145.175,10,30,0.2,45000.0
2024-01-15 00:45:00,core,-1,145.271,10,30,0.2,45000.0
2024-01-15 02:00:00,core,-1,145.432,10,30,0.2,45000.0
2024-01-15 02:15:00,core,-1,145.449,10,30,0.2,45000.0
2024-01-15 04:00:00,core,-1,145.539,10,30,0.2,45000.0
2024-01-15 04:30:00,core,-1,145.657,10,30,0.2,45000.0
2024-01-15 04:45:00,core,-1,145.663,10,30,0.2,45000.0
2024-01-15 05:00:00,core,-1,145.758,10,30,0.2,45000.0
2024-01-15 07:15:00,core,-1,145.87,10,30,0.2,45000.0
2024-01-15 17:00:00,core,1,145.707,10,30,0.2,45000.0
2024-01-15 19:00:00,core,1,145.604,10,30,0.2,45000.0
2024-01-15 21:15:00,core,-1,146.101,10,30,0.2,45000.0
