Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2015-01-01,119.666,120.474,119.666,120.437,0,,,,,120.474,119.666,116.422,120.291,121.792,125.578
2015-01-02,120.438,120.742,119.822,120.445,0,,,,,120.742,119.822,116.422,120.291,121.792,125.578
2015-01-04,120.491,120.647,119.981,120.545,0,,,,,120.647,119.981,116.422,120.291,121.792,125.578
2015-01-05,120.544,120.606,119.089,119.24,0,,,,,120.606,119.089,116.422,120.291,121.792,125.578
2015-01-06,119.24,119.391,118.054,119.045,0,,,,,119.391,118.054,116.422,120.291,121.792,125.578
2015-01-07,119.044,119.819,118.696,119.743,0,,,,,119.819,118.696,116.422,120.291,121.792,125.578
2015-01-08,119.744,119.962,119.27,119.347,0,,,,,119.962,119.27,116.422,120.291,121.792,125.578
2015-01-09,119.347,119.771,118.416,118.416,0,,,,,119.771,118.416,116.422,120.291,121.792,125.578
2015-01-11,118.317,118.504,118.126,118.273,0,,,,,118.504,118.126,116.422,120.291,121.792,125.578
2015-01-12,118.274,119.317,117.74,118.365,0,,,,,119.317,117.74,116.422,120.291,121.792,125.578
2015-01-13,118.365,118.848,117.252,117.266,0,,,,,118.848,117.252,116.422,120.291,121.792,125.578
2015-01-14,117.266,117.836,116.073,117.695,0,,,,,117.836,116.073,116.422,120.291,121.792,125.578
2015-01-15,117.695,117.943,115.851,116.422,0,,,,,117.943,115.851,116.422,120.291,121.792,125.578
2015-01-16,116.42,117.764,116.262,117.562,0,,,,35.126115648530686,117.764,116.262,116.422,120.291,121.792,125.578
2015-01-18,117.454,117.666,116.922,117.089,0,,,,32.257015284501094,117.666,116.922,116.422,120.291,121.792,125.578
2015-01-19,117.082,118.311,117.02,118.243,0,,,,44.226441222399075,118.311,117.02,116.422,120.291,121.792,125.578
2015-01-20,118.243,118.867,117.67,117.839,0,,,,41.46431375820456,118.867,117.67,116.422,120.291,121.792,125.578
2015-01-21,117.836,118.336,117.182,118.106,0,,,,43.95551704563697,118.336,117.182,116.422,120.291,121.792,125.578
2015-01-22,118.106,118.814,117.251,118.606,0,,,,48.38551456049158,118.814,117.251,116.422,120.291,121.792,125.578
2015-01-23,118.604,118.709,117.536,117.764,0,120.77901892219312,118.52239999999999,116.26578107780686,42.319078939234814,118.709,117.536,116.422,120.291,121.792,125.578
2015-01-25,117.512,117.83,117.264,117.623,0,120.48925508587558,118.3817,116.2741449141244,41.383380515244504,117.83,117.264,116.422,120.291,121.792,125.578
2015-01-26,117.625,118.658,117.571,118.304,0,120.15765709239238,118.27465,116.3916429076076,47.42922227122048,118.658,117.571,116.422,120.291,121.792,125.578
2015-01-27,118.305,118.323,117.338,118.101,0,119.72124488461687,118.15245,116.58365511538314,45.90913430731377,118.323,117.338,116.422,120.291,121.792,125.578
2015-01-28,118.103,118.228,117.251,117.892,0,119.57500308315397,118.08505,116.59509691684602,44.333730378222,118.228,117.251,116.422,120.291,121.792,125.578
2015-01-29,117.892,118.489,117.583,118.016,0,119.45698489524094,118.0336,116.61021510475908,45.528064150086045,118.489,117.583,116.422,120.291,121.792,125.578
2015-01-30,118.016,118.023,117.299,117.476,0,119.12540789421969,117.92025000000001,116.71509210578033,41.365781351538956,118.023,117.299,116.422,120.291,121.792,125.578
2015-02-01,116.93,117.878,116.93,117.707,0,118.85189764588095,117.83824999999999,116.82460235411902,43.73546324758121,117.878,116.93,116.422,120.291,121.792,125.578
2015-02-02,117.709,117.849,116.876,117.057,0,118.80196081635391,117.77029999999999,116.73863918364607,38.96363861009787,117.849,116.876,116.422,120.291,121.792,125.578
2015-02-03,117.058,117.997,116.907,117.732,0,118.74880912307532,117.74324999999999,116.73769087692466,45.60129007263004,117.997,116.907,116.422,120.291,121.792,125.578
2015-02-04,117.732,117.77,117.022,117.301,0,118.67067765104808,117.69005000000001,116.70942234895195,42.42849776138413,117.77,117.022,116.422,120.291,121.792,125.578
2015-02-05,117.306,117.596,117.078,117.38,0,118.66773927463221,117.69575,116.7237607253678,43.208476100727204,117.596,117.078,116.422,120.291,121.792,125.578
2015-02-06,117.38,119.22,117.176,119.114,0,118.91861754913275,117.76669999999999,116.61478245086722,56.98408563670321,119.22,117.176,116.422,120.291,121.792,125.578
2015-02-08,119.029,119.094,118.73,118.815,0,118.94832575772709,117.88635,116.8243742422729,54.52794510426551,119.094,118.73,116.422,120.291,121.792,125.578
2015-02-09,118.821,119.004,118.332,118.498,0,119.01611542419415,117.93315,116.85018457580584,51.970371131945534,119.004,118.332,116.422,120.291,121.792,125.578
2015-02-10,118.497,119.662,118.463,119.613,0,119.2966736076306,118.05935,116.8220263923694,59.21632717005883,119.662,118.463,116.422,120.291,121.792,125.578
2015-02-11,119.614,120.478,119.461,120.291,0,119.73602238748573,118.16175000000001,116.58747761251429,62.883205010603234,120.478,119.461,116.422,120.291,121.792,125.578
2015-02-12,120.29,120.373,118.41,118.541,0,119.77207636785957,118.19685000000001,116.62162363214046,50.309734410547975,120.373,118.41,116.422,120.291,121.792,125.578
2015-02-13,118.541,119.198,118.464,118.705,0,119.81668761866995,118.2268,116.63691238133005,51.292626181201534,119.198,118.464,116.422,120.291,121.792,125.578
2015-02-15,118.448,118.782,118.366,118.439,0,119.80202538184957,118.21845,116.63487461815043,49.57961574281267,118.782,118.366,116.422,120.291,121.792,125.578
