Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2016-01-03,120.172,120.464,119.472,119.536,0,,,,,120.464,119.472,100.704
2016-01-10,119.536,119.7,116.69,117.388,0,,,,,119.7,116.69,100.704
2016-01-17,117.387,118.377,116.508,117.132,0,,,,,118.377,116.508,100.704
2016-01-24,117.131,118.878,115.974,118.73,0,,,,,118.878,115.974,100.704
2016-01-31,118.731,121.686,117.656,121.248,0,,,,,121.686,117.656,100.704
2016-02-07,121.249,121.408,116.29,117.32,0,,,,,121.408,116.29,100.704
2016-02-14,117.321,117.524,110.983,113.89,0,,,,,117.524,110.983,100.704
2016-02-21,113.889,114.873,112.306,112.92,0,,,,,114.873,112.306,100.704
2016-02-28,112.918,113.988,111.039,113.114,0,,,,,113.988,111.039,100.704
2016-03-06,113.114,114.554,112.157,113.741,0,,,,,114.554,112.157,100.704
2016-03-13,113.741,114.445,112.229,113.84,0,,,,,114.445,112.229,100.704
2016-03-20,113.839,114.128,110.667,111.37,0,,,,,114.128,110.667,100.704
2016-03-27,111.369,113.687,111.349,113.609,0,,,,,113.687,111.349,100.704
2016-04-03,113.611,113.802,111.319,111.453,0,,,,32.23556795793721,113.802,111.319,100.704
2016-04-10,111.452,111.74,107.629,107.852,0,,,,25.588563650725902,111.74,107.629,100.704
2016-04-17,107.852,109.73,107.689,108.011,0,,,,26.3110863143621,109.73,107.689,100.704
2016-04-24,108.01,111.884,107.888,111.298,0,,,,39.40912512817992,111.884,107.888,100.704
2016-05-01,111.298,111.884,106.138,106.539,0,,,,30.85723965147662,111.884,106.138,100.704
2016-05-08,106.538,107.629,105.549,107.317,0,,,,33.40159342486089,107.629,105.549,100.704
2016-05-15,107.318,109.55,107.29,108.962,0,121.62179974336885,113.2635,104.90520025663113,38.550555935429465,109.55,107.29,100.704
2016-05-22,108.96,110.585,108.638,109.838,0,120.74092512272641,112.77860000000001,104.81627487727361,41.159444578155316,110.585,108.638,100.704
2016-05-29,109.841,111.026,109.11,111.002,0,120.16467210263075,112.45930000000001,104.75392789736928,44.529472047861724,111.026,109.11,100.704
2016-06-05,111.003,111.446,106.365,107.046,0,119.6912409217914,111.955,104.21875907820859,36.81260211762667,111.446,106.365,100.704
2016-06-12,107.049,107.903,106.069,106.152,0,118.79752553733888,111.3261,103.85467446266111,35.322845790239015,107.903,106.069,100.704
2016-06-19,106.153,106.578,103.55,104.553,0,117.01217250256818,110.49134999999998,103.97052749743179,32.76854788901002,106.578,103.55,100.704
2016-06-26,104.553,106.812,98.979,101.9,0,116.47161128290112,109.72035000000001,102.9690887170989,29.019054524777786,106.812,98.979,100.704
2016-07-03,101.906,103.396,101.396,102.783,0,116.27091607043027,109.16499999999999,102.05908392956971,31.81551753010943,103.396,101.396,100.704
2016-07-10,102.782,102.792,99.991,100.704,0,116.3323383273891,108.5542,100.7760616726109,28.92594667146905,102.792,99.991,100.704
2016-07-17,100.709,106.314,100.682,105.548,0,115.76379066605465,108.1759,100.58800933394535,42.117005962023775,106.314,100.682,100.704
2016-07-24,105.546,107.49,105.27,106.3,0,114.98243847615595,107.80384999999998,100.62526152384402,43.859001781519055,107.49,105.27,100.704
2016-07-31,106.299,106.54,101.968,102.498,0,114.20733895287903,107.23675,100.26616104712097,37.68406127305768,106.54,101.968,100.704
2016-08-07,102.5,102.828,100.678,102.011,0,113.82274521101483,106.76880000000001,99.71485478898519,36.966135380931554,102.828,100.678,100.704
2016-08-14,102.012,102.655,100.831,101.26,0,112.85544377246462,106.15135000000001,99.44725622753539,35.832446124561855,102.655,100.831,100.704
2016-08-21,101.259,101.336,99.54,100.842,0,112.2416217798094,105.6208,98.9999782201906,35.18563657672115,101.336,99.54,100.704
2016-08-28,100.84,102.213,99.939,102.154,0,112.0380413563128,105.3359,98.63375864368719,38.91291312782663,102.213,99.939,100.704
2016-09-04,102.155,104.319,101.751,103.658,0,111.74101757481331,105.11825000000002,98.49548242518672,42.96222840077489,104.319,101.751,100.704
2016-09-11,103.66,103.806,101.202,102.514,0,110.74601179236348,104.67905,98.61208820763653,40.749552083550896,103.806,101.202,100.704
2016-09-18,102.512,103.356,101.42,102.043,0,110.56192994822896,104.45425,98.34657005177104,39.83979028293968,103.356,101.42,100.704
