,エントリー時間,決済時間,取引方向,エントリー価格,決済価格,損益(pips),損益(円),決済理由,戦略,ロットサイズ
0,2005-01-07 07:00:00,2005-01-07 08:15:00,買い,104.51100000000001,104.66000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
1,2005-01-08 07:00:00,2005-01-09 18:45:00,買い,104.831,104.73,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
2,2005-01-10 07:00:00,2005-01-10 07:15:00,買い,104.421,104.32000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
3,2005-01-14 07:00:00,2005-01-14 07:45:00,売り,102.73899999999999,102.58999999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
4,2005-01-18 07:00:00,2005-01-18 08:15:00,売り,102.73899999999999,102.58999999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
5,2005-01-22 09:45:00,2005-01-23 17:45:00,買い,102.711,102.86,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
6,2005-01-25 07:00:00,2005-01-25 07:45:00,売り,103.639,103.74,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
7,2005-01-26 07:00:00,2005-01-26 08:30:00,買い,103.441,103.34,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
8,2005-01-27 07:00:00,2005-01-27 07:15:00,売り,103.339,103.44,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
9,2005-01-29 07:15:00,2005-01-30 16:45:00,買い,103.381,103.53,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
10,2005-01-31 07:00:00,2005-01-31 07:45:00,売り,103.45899999999999,103.55999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
11,2005-02-03 07:00:00,2005-02-03 07:15:00,売り,104.059,104.16,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
12,2005-02-07 07:00:00,2005-02-07 07:15:00,売り,104.189,104.28999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
13,2005-02-08 07:00:00,2005-02-08 08:00:00,売り,105.779,105.63,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
14,2005-02-12 07:15:00,2005-02-13 16:45:00,買い,105.76100000000001,105.66000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
15,2005-02-16 07:00:00,2005-02-16 08:15:00,売り,105.109,104.96,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
16,2005-02-18 07:00:00,2005-02-18 08:30:00,買い,105.59100000000001,105.74000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
17,2005-02-19 09:30:00,2005-02-20 17:15:00,買い,105.631,105.78,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
18,2005-02-22 07:00:00,2005-02-22 07:15:00,買い,104.12100000000001,104.02000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
19,2005-02-23 07:00:00,2005-02-23 07:30:00,売り,104.809,104.66,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
20,2005-02-28 07:00:00,2005-02-28 08:30:00,買い,104.241,104.39,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
21,2005-03-02 07:00:00,2005-03-02 08:15:00,売り,104.839,104.94,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
22,2005-03-03 07:00:00,2005-03-03 08:30:00,売り,104.869,104.97,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
23,2005-03-04 07:00:00,2005-03-04 08:30:00,売り,105.45899999999999,105.30999999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
24,2005-03-07 07:00:00,2005-03-07 07:15:00,売り,105.089,105.19,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
25,2005-03-08 07:00:00,2005-03-08 08:30:00,買い,104.971,104.87,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
26,2005-03-09 07:00:00,2005-03-09 07:30:00,買い,103.961,104.11,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
27,2005-03-14 07:00:00,2005-03-14 10:45:00,売り,104.81899999999999,104.91999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
28,2005-03-16 07:00:00,2005-03-16 08:30:00,買い,104.111,104.01,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
29,2005-03-21 07:00:00,2005-03-21 08:15:00,売り,105.40899999999999,105.50999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
30,2005-03-24 07:00:00,2005-03-24 08:30:00,売り,106.419,106.27,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
31,2005-03-28 07:00:00,2005-03-28 08:15:00,売り,106.84899999999999,106.94999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
32,2005-03-31 07:00:00,2005-03-31 08:15:00,買い,106.821,106.97,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
33,2005-04-04 07:00:00,2005-04-04 09:15:00,売り,108.119,108.22,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
34,2005-04-05 07:00:00,2005-04-05 07:30:00,売り,108.73899999999999,108.83999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
35,2005-04-13 07:00:00,2005-04-13 07:45:00,買い,107.221,107.37,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
36,2005-04-14 07:00:00,2005-04-14 08:45:00,売り,108.119,108.22,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
37,2005-04-22 07:00:00,2005-04-22 08:30:00,買い,106.26100000000001,106.16000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
38,2005-04-26 07:00:00,2005-04-26 09:45:00,売り,105.929,106.03,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
39,2005-04-27 07:00:00,2005-04-27 08:30:00,売り,106.259,106.11,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
40,2005-04-28 07:00:00,2005-04-28 08:00:00,売り,105.81899999999999,105.91999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
41,2005-04-29 07:00:00,2005-04-29 08:15:00,買い,105.141,105.04,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
42,2005-05-02 07:00:00,2005-05-02 08:15:00,売り,105.389,105.24,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
43,2005-05-03 07:00:00,2005-05-03 09:00:00,売り,105.249,105.1,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
44,2005-05-04 07:00:00,2005-05-04 08:15:00,買い,104.40100000000001,104.30000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
45,2005-05-06 07:00:00,2005-05-06 08:00:00,売り,104.679,104.78,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
46,2005-05-09 07:00:00,2005-05-09 08:15:00,売り,105.589,105.69,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
