Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2004-01-31,107.44,108.28,105.48,105.75,0,,,,,108.28,105.48
2004-02-29,105.75,109.87,105.23,109.39,0,,,,,109.87,105.23
2004-03-31,109.38,112.35,103.43,104.17,0,,,,,112.35,103.43
2004-04-30,104.16,111.03,103.52,110.45,0,,,,,111.03,103.52
2004-05-31,110.34,114.9,108.36,109.78,0,,,,,114.9,108.36
2004-06-30,109.77,114.78,107.03,108.15,0,,,,,114.78,107.03
2004-07-31,108.16,112.51,107.59,111.23,0,,,,,112.51,107.59
2004-08-31,111.28,112.12,108.77,109.26,0,,,,,112.12,108.77
2004-09-30,109.27,111.77,109.05,110.17,0,,,,,111.77,109.05
2004-10-31,110.18,111.47,105.77,106.26,0,,,,,111.47,105.77
2004-11-30,106.27,107.33,102.16,102.78,0,,,,,107.33,102.16
2004-12-31,102.79,106.22,101.85,102.58,0,,,,,106.22,101.85
