,エントリー時間,決済時間,取引方向,エントリー価格,決済価格,損益(pips),損益(円),決済理由,戦略,ロットサイズ
0,2003-01-06 07:00:00,2003-01-06 07:15:00,買い,118.721,118.62,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
1,2003-01-07 07:00:00,2003-01-07 07:45:00,売り,119.809,119.66,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
2,2003-01-08 07:00:00,2003-01-08 07:45:00,買い,120.23100000000001,120.38000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
3,2003-01-10 07:00:00,2003-01-10 07:30:00,売り,119.729,119.83,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
4,2003-01-20 07:00:00,2003-01-20 08:45:00,売り,118.329,118.17999999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
5,2003-01-21 07:00:00,2003-01-21 08:00:00,売り,118.979,118.83,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
6,2003-01-29 07:00:00,2003-01-29 07:45:00,買い,118.301,118.2,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
7,2003-01-30 07:00:00,2003-01-30 08:15:00,売り,119.29899999999999,119.39999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
8,2003-02-03 07:00:00,2003-02-03 07:30:00,売り,120.429,120.53,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
9,2003-02-05 07:00:00,2003-02-05 07:45:00,買い,119.241,119.39,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
10,2003-02-10 07:00:00,2003-02-10 08:15:00,売り,120.499,120.6,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
11,2003-02-12 07:00:00,2003-02-12 07:45:00,買い,120.87100000000001,121.02000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
12,2003-02-14 07:00:00,2003-02-14 08:00:00,買い,120.561,120.46000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
13,2003-02-18 07:00:00,2003-02-18 08:00:00,買い,119.171,119.07000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
14,2003-02-21 07:00:00,2003-02-21 07:30:00,売り,118.429,118.53,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
15,2003-02-24 07:00:00,2003-02-24 07:45:00,買い,117.891,117.79,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
16,2003-02-25 07:00:00,2003-02-25 09:00:00,買い,117.12100000000001,117.27000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
17,2003-02-26 07:00:00,2003-02-26 08:15:00,売り,117.399,117.25,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
18,2003-02-28 07:00:00,2003-02-28 07:30:00,売り,117.949,118.05,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
19,2003-03-05 07:00:00,2003-03-05 08:00:00,買い,117.551,117.45,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
20,2003-03-10 07:00:00,2003-03-10 08:45:00,買い,116.561,116.46000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
21,2003-03-13 07:00:00,2003-03-13 07:45:00,売り,118.249,118.35,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
22,2003-03-17 07:00:00,2003-03-17 07:30:00,買い,117.84100000000001,117.74000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
23,2003-03-18 07:00:00,2003-03-18 07:45:00,売り,119.179,119.03,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
24,2003-03-20 07:00:00,2003-03-20 07:30:00,買い,120.12100000000001,120.27000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
25,2003-03-24 07:00:00,2003-03-24 08:15:00,買い,120.641,120.79,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
26,2003-03-25 07:00:00,2003-03-25 08:15:00,買い,119.891,120.04,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
27,2003-03-27 07:00:00,2003-03-27 08:00:00,買い,119.891,119.79,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
28,2003-03-31 07:00:00,2003-03-31 07:30:00,買い,118.571,118.72,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
29,2003-04-02 07:00:00,2003-04-02 08:00:00,売り,118.87899999999999,118.97999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
30,2003-04-04 07:00:00,2003-04-04 08:15:00,売り,120.06899999999999,119.91999999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
31,2003-04-07 07:00:00,2003-04-07 07:15:00,売り,120.79899999999999,120.64999999999999,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
32,2003-04-08 07:00:00,2003-04-08 08:00:00,買い,119.821,119.97,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
33,2003-04-17 07:00:00,2003-04-17 07:45:00,買い,119.251,119.4,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
34,2003-04-18 07:00:00,2003-04-20 21:45:00,売り,119.73899999999999,119.83999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
35,2003-04-21 07:00:00,2003-04-21 08:00:00,売り,120.04899999999999,120.14999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
36,2003-04-23 07:00:00,2003-04-23 07:45:00,売り,120.289,120.39,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
37,2003-04-25 07:00:00,2003-04-25 08:15:00,売り,120.98899999999999,121.08999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
38,2003-04-29 07:00:00,2003-04-29 08:00:00,買い,120.211,120.36,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
39,2003-04-30 07:00:00,2003-04-30 08:45:00,買い,119.501,119.65,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
40,2003-05-01 07:00:00,2003-05-01 07:45:00,買い,118.671,118.82000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
41,2003-05-02 07:00:00,2003-05-02 07:45:00,売り,118.669,118.77,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
42,2003-05-09 07:00:00,2003-05-09 08:00:00,売り,117.339,117.44,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
43,2003-05-12 07:00:00,2003-05-12 07:30:00,買い,116.551,116.45,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
44,2003-05-19 07:00:00,2003-05-19 07:15:00,買い,115.971,116.12,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
45,2003-06-02 07:00:00,2003-06-02 07:15:00,買い,118.561,118.71000000000001,14.900000000000091,1.490000000000009,利確,東京レンジ・ロンドンブレイクアウト,0.01
46,2003-06-05 07:00:00,2003-06-05 07:15:00,買い,118.37100000000001,118.27000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
47,2003-06-09 07:00:00,2003-06-09 07:45:00,買い,118.37100000000001,118.27000000000001,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
48,2003-06-16 07:00:00,2003-06-16 08:00:00,売り,117.56899999999999,117.66999999999999,-10.099999999999909,-1.009999999999991,損切り,東京レンジ・ロンドンブレイクアウト,0.01
