Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi
2024-01-01 16:00:00,140.843,141.378,140.811,141.14,0,,,,
2024-01-01 20:00:00,141.142,141.669,141.141,141.537,0,,,,
2024-01-02 00:00:00,141.533,141.604,141.29,141.555,0,,,,
2024-01-02 04:00:00,141.555,142.216,141.377,142.114,0,,,,
2024-01-02 08:00:00,142.114,142.175,141.499,141.892,0,,,,
2024-01-02 12:00:00,141.891,142.001,141.803,141.966,0,,,,
2024-01-02 16:00:00,141.966,142.181,141.856,141.954,0,,,,
2024-01-02 20:00:00,141.954,142.135,141.858,141.904,0,,,,
2024-01-03 00:00:00,141.904,142.645,141.904,142.572,0,,,,
2024-01-03 04:00:00,142.573,142.989,142.499,142.932,0,,,,
2024-01-03 08:00:00,142.934,143.727,142.809,143.556,0,,,,
2024-01-03 12:00:00,143.555,143.731,143.116,143.237,0,,,,
2024-01-03 16:00:00,143.238,143.32,142.853,143.266,0,,,,
2024-01-03 20:00:00,143.268,143.603,143.118,143.565,0,,,,82.60057749838032
2024-01-04 00:00:00,143.568,143.893,143.179,143.588,0,,,,82.77395421222934
2024-01-04 04:00:00,143.588,144.293,143.562,144.217,0,,,,86.6822977243455
2024-01-04 08:00:00,144.216,144.85,144.117,144.59,0,,,,88.3677407388508
2024-01-04 12:00:00,144.589,144.71,144.511,144.588,0,,,,88.30320992982871
2024-01-04 16:00:00,144.589,144.9,144.533,144.798,0,,,,89.19539743561155
2024-01-04 20:00:00,144.799,144.953,144.669,144.847,0,145.33727890375786,142.9909,140.64452109624216,89.39859308944271
2024-01-05 00:00:00,144.846,145.367,144.658,145.075,0,145.54013381716007,143.18765000000002,140.83516618283997,90.3116135729837
2024-01-05 04:00:00,145.08,145.374,145.002,145.092,0,145.7293332816304,143.3654,141.00146671836958,90.37815226423926
2024-01-05 08:00:00,145.092,145.976,143.806,144.529,0,145.7757403692895,143.5141,141.25245963071052,72.5961537198752
2024-01-05 12:00:00,144.523,144.894,144.495,144.747,0,145.8723264639913,143.64575,141.41917353600869,74.67401362637409
2024-01-05 16:00:00,144.747,144.789,144.549,144.603,0,145.89134389527803,143.78130000000002,141.671256104722,70.85237318762344
2024-01-07 16:00:00,144.453,144.917,144.382,144.594,0,145.8764349210115,143.9127,141.9489650789885,70.6091494210446
2024-01-07 20:00:00,144.595,144.664,144.312,144.462,0,145.7949150614109,144.03810000000001,142.28128493858912,66.97755767450263
2024-01-08 00:00:00,144.467,144.611,144.089,144.521,0,145.63649018343628,144.16895,142.7014098165637,67.77534490755518
2024-01-08 04:00:00,144.519,144.683,144.185,144.475,0,145.5393033406482,144.2641,142.98889665935184,66.42787597370635
2024-01-08 08:00:00,144.472,144.573,143.661,143.897,0,145.4476410243635,144.31235,143.17705897563653,52.345368856021345
2024-01-08 12:00:00,143.897,144.269,143.805,144.157,0,145.42669117860487,144.3424,143.25810882139513,56.78358587757094
2024-01-08 16:00:00,144.159,144.28,143.852,143.928,0,145.35719292397366,144.37695000000002,143.3967070760264,52.17456108410288
2024-01-08 20:00:00,143.928,143.974,143.419,143.585,0,145.30857109815716,144.3929,143.47722890184284,46.13432736119656
2024-01-09 00:00:00,143.587,144.314,143.581,144.03,0,145.2679404143628,144.41615,143.56435958563716,53.634042181828484
2024-01-09 04:00:00,144.03,144.17,143.742,143.999,0,145.22504893289738,144.43670000000003,143.64835106710268,53.079612121595936
2024-01-09 08:00:00,143.998,144.441,143.651,144.352,0,145.22645254788884,144.44345,143.66044745211119,58.35836906165863
2024-01-09 12:00:00,144.352,144.623,144.239,144.519,0,145.22085375023133,144.4399,143.65894624976866,60.61582003962861
2024-01-09 16:00:00,144.519,144.712,144.314,144.532,0,145.216309317193,144.43710000000002,143.65789068280702,60.793998300753415
2024-01-09 20:00:00,144.53,144.934,144.527,144.805,0,145.21731344317473,144.43744999999998,143.65758655682524,64.43301416665057
2024-01-10 00:00:00,144.807,145.15,144.667,144.985,0,145.24085016321428,144.44435,143.6478498367857,66.63216000259172
2024-01-10 04:00:00,144.986,145.287,144.761,145.274,0,145.28624737814386,144.45430000000002,143.62235262185618,69.85495664401128
2024-01-10 08:00:00,145.274,145.824,145.146,145.686,0,145.43830225819727,144.48399999999998,143.5296977418027,73.74770352112716
2024-01-10 12:00:00,145.686,145.828,145.561,145.801,0,145.661604380602,144.5476,143.43359561939798,74.72866889463361
2024-01-10 16:00:00,145.802,145.827,145.423,145.481,0,145.76832417205077,144.5843,143.40027582794926,67.20351808961779
2024-01-10 20:00:00,145.481,145.587,145.277,145.387,0,145.8582316307605,144.62349999999998,143.38876836923944,65.12877915394311
2024-01-11 00:00:00,145.389,145.544,145.281,145.475,0,145.95659499145708,144.66755,143.37850500854293,66.18138732750397
2024-01-11 04:00:00,145.477,145.592,145.314,145.386,0,146.03582531933722,144.71375,143.3916746806628,64.07480283879502
2024-01-11 08:00:00,145.386,146.414,144.968,146.03,0,146.22592705828234,144.7892,143.35247294171765,71.21473112528734
2024-01-11 12:00:00,146.029,146.035,145.376,145.401,0,146.2883335761541,144.8355,143.3826664238459,58.901535779066705
2024-01-11 16:00:00,145.404,145.476,144.938,145.252,0,146.29999734651648,144.90325,143.50650265348355,56.413238477310294
2024-01-11 20:00:00,145.253,145.405,144.843,145.0,0,146.29975998168908,144.9454,143.59104001831093,52.38270504880086
