Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2020-01-01 16:00:00,108.73,108.759,108.575,108.701,0,,,,,,,102.067,110.155,110.261,112.115
2020-01-01 20:00:00,108.701,108.743,108.637,108.741,0,,,,,,,102.067,110.155,110.261,112.115
2020-01-02 00:00:00,108.741,108.819,108.693,108.779,0,,,,,108.864,108.693,102.067,110.155,110.261,112.115
2020-01-02 04:00:00,108.78,108.864,108.756,108.786,0,,,,,108.864,108.693,102.067,110.155,110.261,112.115
2020-01-02 08:00:00,108.786,108.789,108.211,108.433,0,,,,,108.864,108.693,102.067,110.155,110.261,112.115
2020-01-02 12:00:00,108.432,108.57,108.43,108.555,0,,,,,108.864,108.693,102.067,110.155,110.261,112.115
2020-01-02 16:00:00,108.554,108.63,108.391,108.406,0,,,,,108.864,108.693,102.067,110.155,110.261,112.115
2020-01-02 20:00:00,108.406,108.44,107.999,108.132,0,,,,,108.864,108.693,102.067,110.155,110.261,112.115
2020-01-03 00:00:00,108.133,108.164,107.915,107.993,0,,,,,108.164,107.915,102.067,110.155,110.261,112.115
2020-01-03 04:00:00,107.993,108.155,107.921,108.084,0,,,,,108.164,107.915,102.067,110.155,110.261,112.115
2020-01-03 08:00:00,108.085,108.267,107.916,107.946,0,,,,,108.164,107.915,102.067,110.155,110.261,112.115
2020-01-03 12:00:00,107.946,108.119,107.839,108.092,0,,,,,108.164,107.915,102.067,110.155,110.261,112.115
2020-01-03 16:00:00,108.091,108.123,108.047,108.047,0,,,,,108.164,107.915,102.067,110.155,110.261,112.115
2020-01-05 16:00:00,107.838,108.122,107.77,108.066,0,,,,31.333280042677586,,,102.067,110.155,110.261,112.115
2020-01-05 20:00:00,108.066,108.104,107.913,108.061,0,,,,31.167172342256507,,,102.067,110.155,110.261,112.115
2020-01-06 00:00:00,108.062,108.176,107.95,107.977,0,,,,28.43945628687557,108.176,107.926,102.067,110.155,110.261,112.115
2020-01-06 04:00:00,107.977,108.162,107.926,108.159,0,,,,40.57473301795453,108.176,107.926,102.067,110.155,110.261,112.115
2020-01-06 08:00:00,108.156,108.414,108.063,108.369,0,,,,50.91747202432372,108.176,107.926,102.067,110.155,110.261,112.115
2020-01-06 12:00:00,108.369,108.505,108.341,108.439,0,,,,53.80372760838538,108.176,107.926,102.067,110.155,110.261,112.115
2020-01-06 16:00:00,108.44,108.455,108.24,108.428,0,108.87383796184976,108.30969999999999,107.74556203815023,53.273577258926416,108.176,107.926,102.067,110.155,110.261,112.115
2020-01-06 20:00:00,108.428,108.504,108.375,108.497,0,108.84192842845854,108.2995,107.75707157154145,56.189688687172335,108.176,107.926,102.067,110.155,110.261,112.115
