Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2001-01-31,114.61,118.48,113.6,116.53,0,,,,,118.48,113.6
2001-02-28,116.52,118.05,114.38,117.29,0,,,,,118.05,114.38
2001-03-31,117.3,126.38,117.05,126.18,0,,,,,126.38,117.05
2001-04-30,126.15,126.87,120.94,123.23,0,,,,,126.87,120.94
2001-05-31,123.23,124.07,118.43,118.68,0,,,,,124.07,118.43
2001-06-30,118.69,125.01,118.32,124.75,0,,,,,125.01,118.32
2001-07-31,124.74,126.16,122.72,124.81,0,,,,,126.16,122.72
2001-08-31,124.82,124.97,118.51,118.78,0,,,,,124.97,118.51
2001-09-30,119.18,122.07,115.85,119.77,0,,,,,122.07,115.85
2001-10-31,119.76,123.16,119.54,122.34,0,,,,,123.16,119.54
2001-11-30,121.7,124.6,119.78,123.16,0,,,,,124.6,119.78
2001-12-31,123.38,132.62,121.83,131.58,0,,,,,132.62,121.83
