Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2005-01-31,102.58,105.22,101.71,103.72,0,,,,,105.22,101.71
2005-02-28,103.73,106.88,103.38,104.52,0,,,,,106.88,103.38
2005-03-31,104.53,107.72,103.68,107.49,0,,,,,107.72,103.68
2005-04-30,107.48,108.91,104.65,104.81,0,,,,,108.91,104.65
2005-05-31,105.11,108.59,104.23,108.32,0,,,,,108.59,104.23
2005-06-30,108.31,111.03,106.53,110.91,0,,,,,111.03,106.53
2005-07-31,111.69,113.75,109.91,112.23,0,,,,,113.75,109.91
2005-08-31,112.24,112.65,109.07,110.81,0,,,,,112.65,109.07
2005-09-30,110.82,113.71,108.8,113.5,0,,,,,113.71,108.8
2005-10-31,113.42,116.7,113.05,116.56,0,,,,,116.7,113.05
2005-11-30,116.55,119.96,116.49,119.88,0,,,,,119.96,116.49
2005-12-31,119.87,121.43,115.55,117.85,0,,,,,121.43,115.55
