Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2023-01-31,130.925,134.773,127.218,130.25,0,,,,,134.773,127.218
2023-02-28,130.251,136.917,128.08,136.384,0,,,,,136.917,128.08
2023-03-31,136.385,137.91,129.671,132.756,0,,,,,137.91,129.671
2023-04-30,133.279,136.945,130.774,136.878,0,,,,,136.945,130.774
2023-05-31,136.877,140.932,133.498,139.499,0,,,,,140.932,133.498
2023-06-30,139.499,145.067,138.603,144.223,0,,,,,145.067,138.603
2023-07-31,144.276,144.881,137.237,142.667,0,,,,,144.881,137.237
2023-08-31,142.668,147.374,141.511,145.453,0,,,,,147.374,141.511
2023-09-30,145.452,149.708,144.441,149.334,0,,,,,149.708,144.441
2023-10-31,149.606,151.716,147.277,151.321,0,,,,,151.716,147.277
2023-11-30,151.321,151.907,146.67,148.078,0,,,,,151.907,146.67
2023-12-31,148.078,148.345,140.248,140.98,0,,,,,148.345,140.248
