Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2001-01-02,114.61,115.1,114.27,114.59,0,,,,,115.1,114.27,114.9
2001-01-03,114.6,114.7,113.6,113.85,0,,,,,114.7,113.6,114.9
2001-01-04,113.86,116.92,113.76,116.63,0,,,,,116.92,113.76,114.9
2001-01-05,116.65,116.82,116.0,116.58,0,,,,,116.82,116.0,114.9
2001-01-07,116.54,116.59,116.29,116.31,0,,,,,116.59,116.29,114.9
2001-01-08,116.33,116.61,115.64,115.94,0,,,,,116.61,115.64,114.9
2001-01-09,115.93,117.19,115.68,116.29,0,,,,,117.19,115.68,114.9
2001-01-10,116.3,116.91,115.84,116.8,0,,,,,116.91,115.84,114.9
2001-01-21,116.75,117.11,116.29,116.87,0,,,,,117.11,116.29,114.9
2001-01-22,116.88,117.44,116.19,117.03,0,,,,,117.44,116.19,114.9
2001-01-23,117.04,117.43,116.59,116.93,0,,,,,117.43,116.59,114.9
2001-01-24,116.95,118.48,116.87,118.0,0,,,,,118.48,116.87,114.9
2001-01-25,117.99,118.07,116.41,116.79,0,,,,,118.07,116.41,114.9
2001-01-26,116.78,117.61,116.35,117.35,0,,,,64.56301538783629,117.61,116.35,114.9
2001-01-28,117.7,117.72,117.29,117.3,0,,,,63.9124749772585,117.72,117.29,114.9
2001-01-29,117.29,117.34,116.17,116.59,0,,,,55.379294684231624,117.34,116.17,114.9
2001-01-30,116.59,116.96,115.61,116.58,0,,,,55.26737140396231,116.96,115.61,114.9
2001-01-31,116.57,116.79,116.03,116.53,0,,,,54.672400347419455,116.79,116.03,114.9
2001-02-01,116.52,116.54,115.28,115.35,0,,,,42.92728815137923,116.54,115.28,114.9
2001-02-02,115.34,115.92,114.99,115.72,0,118.25780035285243,116.40150000000001,114.5451996471476,46.78746645318194,115.92,114.99,114.9
2001-02-04,115.81,116.08,115.78,116.04,0,118.14572246500428,116.474,114.80227753499572,49.940976149103946,116.08,115.78,114.9
2001-02-05,116.05,116.07,114.64,115.15,0,117.86235785031863,116.53899999999999,115.21564214968134,42.41262161342774,116.07,114.64,114.9
2001-02-06,115.16,115.23,114.38,114.9,0,117.95481654454045,116.45249999999999,114.95018345545952,40.562898584462936,115.23,114.38,114.9
2001-02-07,114.91,116.59,114.82,116.29,0,117.94071221463058,116.43799999999999,114.9352877853694,52.87028584718179,116.59,114.82,114.9
2001-02-08,116.3,116.84,115.91,116.5,0,117.94925730396092,116.44749999999999,114.94574269603906,54.4063240953519,116.84,115.91,114.9
2001-02-09,116.52,117.8,116.49,117.6,0,118.09314487328375,116.5305,114.96785512671626,61.48697151040004,117.8,116.49,114.9
2001-02-11,117.51,118.05,117.49,117.88,0,118.27410336217433,116.60999999999999,114.94589663782564,63.05957862396849,118.05,117.49,114.9
2001-02-12,117.89,117.97,117.12,117.24,0,118.3170709183889,116.63200000000002,114.94692908161115,57.30020363204412,117.97,117.12,114.9
2001-02-13,117.23,117.56,116.55,116.7,0,118.30539506212484,116.62349999999999,114.94160493787514,52.909291866573255,117.56,116.55,114.9
2001-02-14,116.69,116.9,116.08,116.17,0,118.26259958088097,116.5805,114.89840041911903,48.944932029459856,116.9,116.08,114.9
2001-02-15,116.18,116.44,115.38,115.86,0,118.22917625409356,116.527,114.82482374590644,46.739005258161086,116.44,115.38,114.9
2001-02-16,115.85,115.93,114.59,115.44,0,118.02203296331282,116.399,114.77596703668718,43.855132659169115,115.93,114.59,114.9
2001-02-18,116.19,116.24,115.65,115.87,0,117.98123954011686,116.353,114.72476045988313,47.43137601007932,116.24,115.65,114.9
2001-02-19,115.86,116.25,115.65,116.2,0,117.85877188933979,116.29549999999999,114.73222811066019,50.060386666237115,116.25,115.65,114.9
