Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1,resistance_level_2
2024-01-01,140.843,141.669,140.811,141.537,0,,,,,141.669,140.811,146.419,144.361,140.12,159.396,161.659
2024-01-02,141.533,142.216,141.29,141.904,0,,,,,142.216,141.29,146.419,144.361,140.12,159.396,161.659
2024-01-03,141.904,143.731,141.904,143.565,0,,,,,143.731,141.904,146.419,144.361,140.12,159.396,161.659
2024-01-04,143.568,144.953,143.179,144.847,0,,,,,144.953,143.179,146.419,144.361,140.12,159.396,161.659
2024-01-05,144.846,145.976,143.806,144.603,0,,,,,145.976,143.806,146.419,144.361,140.12,159.396,161.659
2024-01-07,144.453,144.917,144.312,144.462,0,,,,,144.917,144.312,146.419,144.361,140.12,159.396,161.659
2024-01-08,144.467,144.683,143.419,143.585,0,,,,,144.683,143.419,146.419,144.361,140.12,159.396,161.659
2024-01-09,143.587,144.934,143.581,144.805,0,,,,,144.934,143.581,146.419,144.361,140.12,159.396,161.659
2024-01-10,144.807,145.828,144.667,145.387,0,,,,,145.828,144.667,146.419,144.361,140.12,159.396,161.659
2024-01-11,145.389,146.414,144.843,145.0,0,,,,,146.414,144.843,146.419,144.361,140.12,159.396,161.659
2024-01-12,144.999,145.566,144.354,144.904,0,,,,,145.566,144.354,146.419,144.361,140.12,159.396,161.659
2024-01-14,144.78,145.232,144.78,145.167,0,,,,,145.232,144.78,146.419,144.361,140.12,159.396,161.659
2024-01-15,145.168,146.229,145.097,146.111,0,,,,,146.229,145.097,146.419,144.361,140.12,159.396,161.659
2024-01-16,146.112,147.483,145.993,147.349,0,,,,82.16925411225071,147.483,145.993,146.419,144.361,140.12,159.396,161.659
2024-01-17,147.353,148.524,147.349,147.929,0,,,,83.82253191039428,148.524,147.349,146.419,144.361,140.12,159.396,161.659
2024-01-18,147.931,148.473,147.654,148.357,0,,,,84.93275589671065,148.473,147.654,146.419,144.361,140.12,159.396,161.659
2024-01-19,148.359,148.802,147.838,148.04,0,,,,80.52487077624386,148.802,147.838,146.419,144.361,140.12,159.396,161.659
2024-01-21,148.207,148.259,147.73,147.839,0,,,,77.76885172031773,148.259,147.73,146.419,144.361,140.12,159.396,161.659
2024-01-22,147.838,148.548,147.615,147.944,0,,,,78.18881314740997,148.548,147.615,146.419,144.361,140.12,159.396,161.659
2024-01-23,147.944,148.694,146.975,147.88,0,149.58341711896477,145.56075,141.53808288103525,77.23114435409637,148.694,146.975,146.419,144.361,140.12,159.396,161.659
2024-01-24,147.881,148.012,146.648,147.771,0,149.5510572622666,145.87245000000001,142.19384273773343,75.5342842440088,148.012,146.648,146.419,144.361,140.12,159.396,161.659
2024-01-25,147.77,147.936,147.081,147.79,0,149.4487283591609,146.16675,142.88477164083912,75.63477722826613,147.936,147.081,146.419,144.361,140.12,159.396,161.659
2024-01-26,147.791,148.209,147.393,148.149,0,149.55716713743305,146.39595,143.23473286256694,77.51414891062193,148.209,147.393,146.419,144.361,140.12,159.396,161.659
2024-01-28,148.087,148.333,147.992,148.064,0,149.71376560640127,146.5568,143.39983439359875,76.0190366108753,148.333,147.992,146.419,144.361,140.12,159.396,161.659
2024-01-29,148.064,148.1,147.19,147.361,0,149.7371080659899,146.69469999999998,143.65229193401007,64.87393230552826,148.1,147.19,146.419,144.361,140.12,159.396,161.659
2024-01-30,147.362,147.926,147.096,147.609,0,149.7377751757575,146.85205,143.9663248242425,66.72717578436844,147.926,147.096,146.419,144.361,140.12,159.396,161.659
2024-01-31,147.61,147.898,146.007,146.791,0,149.48027376503015,147.01235,144.54442623496985,56.19563659396999,147.898,146.007,146.419,144.361,140.12,159.396,161.659
2024-02-01,146.791,147.114,145.896,146.419,0,149.36473038905137,147.09305,144.82136961094864,52.163543853884896,147.114,145.896,146.419,144.361,140.12,159.396,161.659
2024-02-02,146.419,148.583,146.354,148.308,0,149.42732045507316,147.23909999999998,145.0508795449268,65.64399163460294,148.583,146.354,146.419,144.361,140.12,159.396,161.659
2024-02-04,148.381,148.82,148.314,148.433,0,149.39891989968177,147.41074999999998,145.42258010031819,66.32034811021815,148.82,148.314,146.419,144.361,140.12,159.396,161.659
2024-02-05,148.432,148.892,148.266,148.466,0,149.25974572086372,147.58884999999998,145.91795427913624,66.50780661687726,148.892,148.266,146.419,144.361,140.12,159.396,161.659
2024-02-06,148.468,148.787,147.709,147.971,0,148.9818087916278,147.72904999999997,146.47629120837215,61.02131101444784,148.787,147.709,146.419,144.361,140.12,159.396,161.659
2024-02-07,147.972,148.495,147.618,148.483,0,148.89798885484677,147.84765,146.7973111451532,64.30165880842682,148.495,147.618,146.419,144.361,140.12,159.396,161.659
2024-02-08,148.484,149.488,148.461,149.416,0,149.1768469725055,147.951,146.72515302749449,69.36169641886052,149.488,148.461,146.419,144.361,140.12,159.396,161.659
2024-02-09,149.417,149.575,149.005,149.256,0,149.36849755300852,148.01735,146.66620244699146,67.59229677680521,149.575,149.005,146.419,144.361,140.12,159.396,161.659
2024-02-11,149.213,149.314,149.078,149.222,0,149.50465033153313,148.0606,146.61654966846686,67.19999606684885,149.314,149.078,146.419,144.361,140.12,159.396,161.659
2024-02-12,149.223,149.577,148.926,149.552,0,149.71961082477065,148.13619999999997,146.5527891752293,69.07601432076797,149.577,148.926,146.419,144.361,140.12,159.396,161.659
2024-02-13,149.553,150.883,149.224,150.441,0,150.13291212896547,148.2663,146.39968787103453,73.47707264719938,150.883,149.224,146.419,144.361,140.12,159.396,161.659
2024-02-14,150.44,150.75,150.117,150.143,0,150.4059075942757,148.37625,146.3465924057243,69.88657533145113,150.75,150.117,146.419,144.361,140.12,159.396,161.659
2024-02-15,150.144,150.365,149.523,150.251,0,150.66666054800973,148.4948,146.32293945199027,70.45014841083407,150.365,149.523,146.419,144.361,140.12,159.396,161.659
2024-02-16,150.252,150.645,150.084,150.181,0,150.87865459882033,148.6153,146.35194540117965,69.54171219791935,150.645,150.084,146.419,144.361,140.12,159.396,161.659
2024-02-18,150.078,150.195,149.871,150.025,0,151.036605929178,148.72705000000002,146.41749407082204,67.45418255508824,150.195,149.871,146.419,144.361,140.12,159.396,161.659
2024-02-19,150.026,150.366,149.89,150.332,0,151.23093135027736,148.8362,146.44146864972262,69.40086402892337,150.366,149.89,146.419,144.361,140.12,159.396,161.659
2024-02-20,150.333,150.437,149.683,150.003,0,151.35186182863964,148.93315,146.51443817136038,64.91943378359127,150.437,149.683,146.419,144.361,140.12,159.396,161.659
2024-02-21,150.003,150.456,149.932,150.287,0,151.4536452299677,149.07945,146.70525477003233,66.90602203345043,150.456,149.932,146.419,144.361,140.12,159.396,161.659
2024-02-22,150.288,150.688,150.015,150.529,0,151.57902884720298,149.22545,146.871871152797,68.54084249602865,150.688,150.015,146.419,144.361,140.12,159.396,161.659
2024-02-23,150.53,150.767,150.292,150.473,0,151.5378659986246,149.40955,147.2812340013754,67.70732619149908,150.767,150.292,146.419,144.361,140.12,159.396,161.659
2024-02-25,150.46,150.562,150.292,150.5,0,151.29059784138246,149.6136,147.93660215861752,67.90995231879904,150.562,150.292,146.419,144.361,140.12,159.396,161.659
2024-02-26,150.5,150.837,150.363,150.455,0,151.32310423414899,149.72095000000002,148.11879576585105,67.15365161497797,150.837,150.363,146.419,144.361,140.12,159.396,161.659
2024-02-27,150.454,150.64,150.073,150.621,0,151.3630860209774,149.83035,148.29761397902263,68.54529191159315,150.64,150.073,146.419,144.361,140.12,159.396,161.659
2024-02-28,150.622,150.842,149.694,149.823,0,151.2976948517239,149.89820000000003,148.49870514827617,56.21504088294631,150.842,149.694,146.419,144.361,140.12,159.396,161.659
2024-02-29,149.822,150.413,149.208,150.383,0,151.1163402680547,150.0188,148.9212597319453,61.45504523262159,150.413,149.208,146.419,144.361,140.12,159.396,161.659
2024-03-01,150.383,150.72,150.05,150.064,0,150.9394385633738,150.09785,149.25626143662618,57.251813932246954,150.72,150.05,146.419,144.361,140.12,159.396,161.659
2024-03-03,149.944,150.265,149.837,150.253,0,150.92270449551816,150.1397,149.35669550448185,59.03932467152923,150.265,149.837,146.419,144.361,140.12,159.396,161.659
2024-03-04,150.253,150.568,150.173,150.529,0,150.88965642573245,150.20335,149.51704357426755,61.56670471840002,150.568,150.173,146.419,144.361,140.12,159.396,161.659
2024-03-05,150.528,150.545,149.701,149.939,0,150.77514984840155,150.23919999999998,149.7032501515984,53.909097004504524,150.545,149.701,146.419,144.361,140.12,159.396,161.659
2024-03-06,149.938,149.939,148.401,148.55,0,151.0571050460692,150.1891,149.32109495393078,40.984844950915495,149.939,148.401,146.419,144.361,140.12,159.396,161.659
2024-03-07,148.551,148.681,147.521,147.853,0,151.38832230901093,150.0597,148.73107769098905,36.28402099633212,148.681,147.521,146.419,144.361,140.12,159.396,161.659
2024-03-08,147.852,148.044,146.481,147.03,0,151.7756157054994,149.90404999999998,148.03248429450056,31.66563124063609,148.044,146.481,146.419,144.361,140.12,159.396,161.659
2024-03-10,146.915,147.126,146.537,146.903,0,152.00994111862107,149.73665,147.46335888137892,31.009695578390236,147.126,146.537,146.419,144.361,140.12,159.396,161.659
2024-03-11,146.903,147.434,146.483,147.382,0,152.07841199779534,149.5967,147.11498800220465,36.36387926545302,147.434,146.483,146.419,144.361,140.12,159.396,161.659
2024-03-12,147.383,148.161,147.065,147.571,0,152.09748569654977,149.474,146.8505143034502,38.39543650903667,148.161,147.065,146.419,144.361,140.12,159.396,161.659
2024-03-13,147.572,148.045,147.458,147.912,0,152.0297235942475,149.353,146.6762764057525,41.993581632303496,148.045,147.458,146.419,144.361,140.12,159.396,161.659
2024-03-14,147.914,148.659,147.43,148.311,0,151.96448482062436,149.26839999999999,146.5723151793756,45.97010138165603,148.659,147.43,146.419,144.361,140.12,159.396,161.659
2024-03-15,148.31,149.163,148.03,148.982,0,151.860355093703,149.20315,146.545944906297,51.937288654374065,149.163,148.03,146.419,144.361,140.12,159.396,161.659
