Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2002-01-31,131.52,135.0,130.4,132.81,0,,,,,135.0,130.4
2002-02-28,133.02,135.4,131.97,133.84,0,,,,,135.4,131.97
2002-03-31,133.48,133.51,127.8,133.27,0,,,,,133.51,127.8
2002-04-30,133.27,133.87,127.67,128.53,0,,,,,133.87,127.67
2002-05-31,128.52,129.13,123.53,124.25,0,,,,,129.13,123.53
2002-06-30,124.31,125.91,118.97,119.59,0,,,,,125.91,118.97
2002-07-31,119.6,120.78,115.53,119.76,0,,,,,120.78,115.53
2002-08-31,119.75,121.38,116.34,118.72,0,,,,,121.38,116.34
2002-09-30,118.6,124.26,116.86,122.23,0,,,,,124.26,116.86
2002-10-31,122.22,125.67,121.69,122.65,0,,,,,125.67,121.69
2002-11-30,122.66,123.21,119.14,122.64,0,,,,,123.21,119.14
2002-12-31,122.64,125.75,118.33,118.74,0,,,,,125.75,118.33
