Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low
2016-01-31,120.172,121.686,115.974,121.248,0,,,,,121.686,115.974
2016-02-29,121.249,121.408,110.983,112.614,0,,,,,121.408,110.983
2016-03-31,112.614,114.554,110.667,112.301,0,,,,,114.554,110.667
2016-04-30,112.302,112.454,106.268,106.361,0,,,,,112.454,106.268
2016-05-31,106.234,111.446,105.549,110.598,0,,,,,111.446,105.549
2016-06-30,110.597,110.767,98.979,102.826,0,,,,,110.767,98.979
2016-07-31,102.828,107.49,99.991,102.498,0,,,,,107.49,99.991
2016-08-31,102.5,103.53,99.54,103.257,0,,,,,103.53,99.54
2016-09-30,103.259,104.319,100.082,101.315,0,,,,,104.319,100.082
2016-10-31,101.213,105.532,101.181,104.869,0,,,,,105.532,101.181
2016-11-30,104.868,114.824,101.186,114.154,0,,,,,114.824,101.186
2016-12-31,114.154,118.663,112.869,117.004,0,,,,,118.663,112.869
